GPU 1 UTIL,GPU 1 SCLK,GPU 1 MCLK,GPU 1 TEMP,GPU 1 Hotspot,GPU 1 PWR,GPU VRAM 1 UTIL,FPS,CPU UTIL,RAM UTIL,CPU FREQUENCY,CPU VOLTAGE,CPU TEMPERATURE,CPU POWER
65.18,1507.70,1740.96,64.62,78.17,201.44,2879.37,77.20,3.46,10.49,3.26,1.34,68.23,37.16
0,0,60,45,46,19,925,N/A,0.02,9.23,0.661,1.203,49.281,4.178
0,5,192,45,47,22,925,N/A,0.50,9.22,1.931,1.280,50.057,12.343
7,45,922,44,48,30,925,N/A,1.38,9.23,2.426,1.303,50.307,16.326
4,27,908,45,48,33,925,N/A,2.15,9.24,2.015,1.293,50.010,14.565
8,52,1342,45,49,40,927,N/A,2.30,9.20,2.638,1.305,51.989,19.719
0,0,22,45,47,22,927,N/A,1.73,9.26,3.253,1.357,64.438,24.197
15,90,902,45,48,35,927,N/A,5.19,9.28,4.162,1.311,66.471,42.225
1,23,192,45,47,24,927,N/A,3.52,9.24,4.534,1.367,72.589,50.660
0,6,214,45,47,23,927,N/A,0.63,9.25,3.429,1.358,60.954,25.295
16,495,294,45,47,24,927,N/A,2.25,9.26,3.201,1.360,61.560,24.512
0,11,892,45,48,27,927,N/A,2.94,9.26,2.709,1.304,54.656,13.969
9,55,310,45,47,25,927,N/A,4.00,9.25,2.154,1.317,56.927,17.133
2,19,226,45,47,26,927,N/A,1.34,9.24,2.707,1.369,65.504,20.104
5,35,194,45,47,23,927,N/A,3.28,9.24,2.950,1.381,67.465,23.596
2,16,216,45,47,23,927,N/A,4.27,9.25,2.675,1.362,58.900,20.389
2,19,194,45,48,23,927,N/A,4.75,9.25,4.099,1.343,57.170,17.105
4,29,668,45,47,24,927,N/A,2.86,9.26,3.711,1.325,55.474,14.484
1,11,194,45,47,23,927,N/A,1.77,9.25,2.905,1.345,57.129,15.555
4,31,198,45,47,23,927,N/A,1.06,9.26,1.933,1.287,51.638,10.436
2,16,192,45,47,24,927,N/A,1.25,9.25,1.441,1.256,49.858,7.190
9,52,210,45,47,24,927,N/A,3.30,9.26,1.508,1.270,49.852,8.348
2,21,192,45,47,23,927,N/A,13.33,9.25,4.792,1.345,64.219,17.104
0,8,192,45,47,22,927,N/A,31.10,9.25,5.319,1.356,87.318,25.066
1,16,790,45,48,27,927,N/A,70.16,9.25,5.035,1.211,82.709,59.652
1,16,790,45,48,27,927,N/A,70.16,9.25,5.035,1.211,82.709,59.652
4,29,218,45,47,23,927,N/A,32.96,9.26,5.035,1.211,82.709,59.652
1,11,954,44,48,26,927,N/A,1.47,9.25,3.018,1.233,62.598,31.027
4,31,576,45,47,26,928,N/A,2.97,9.32,1.136,1.260,50.659,6.942
0,10,708,45,48,31,927,N/A,3.11,9.33,2.829,1.272,56.428,27.583
5,35,516,45,48,29,927,N/A,0.00,9.28,4.343,1.363,72.042,47.657
1,10,198,45,47,25,927,N/A,2.06,9.29,3.867,1.363,62.707,29.630
32,495,192,45,47,22,927,N/A,3.03,9.30,3.351,1.356,60.965,24.317
7,51,576,45,47,24,927,N/A,2.80,9.28,1.998,1.312,55.347,14.946
6,39,782,44,48,24,927,N/A,2.55,9.28,2.534,1.329,57.439,17.351
2,18,682,45,47,23,927,N/A,5.25,9.28,3.271,1.371,68.379,22.618
10,64,536,45,47,25,927,N/A,3.48,9.28,3.198,1.377,67.919,21.938
5,34,706,45,47,25,927,N/A,1.73,9.28,2.930,1.364,60.185,19.750
6,43,692,45,48,27,927,N/A,3.35,9.28,2.666,1.351,58.257,17.476
2,23,566,45,47,25,927,N/A,5.09,9.28,2.593,1.334,55.129,14.971
4,32,396,45,47,24,927,N/A,2.35,9.28,2.707,1.346,56.807,16.057
4,38,96,45,47,27,927,N/A,0.29,9.27,1.655,1.278,51.320,9.767
1,13,974,45,47,26,927,N/A,0.00,9.27,1.133,1.255,49.948,6.577
3,39,546,45,48,28,927,N/A,5.75,9.28,1.461,1.265,49.895,7.983
3,36,496,45,47,27,927,N/A,13.70,9.28,4.776,1.346,65.150,15.926
5,40,260,45,47,26,927,N/A,31.37,9.28,5.313,1.355,87.722,25.229
1,27,284,45,47,26,927,N/A,66.34,9.26,5.047,1.219,83.367,59.477
1,27,284,45,47,26,927,N/A,66.34,9.26,5.047,1.219,83.367,59.477
1,14,958,45,47,28,927,N/A,34.13,9.26,5.047,1.219,83.367,59.477
0,9,642,45,48,26,1086,0.000,2.75,9.94,3.404,1.231,62.255,30.760
1,20,1990,45,49,51,1088,61.000,10.18,9.49,3.339,1.347,60.827,28.835
0,28,908,46,49,46,1088,60.000,4.15,9.49,4.483,1.374,65.833,31.795
0,28,1306,46,48,42,1088,60.000,7.51,9.48,3.349,1.353,59.037,15.995
0,21,1994,45,49,44,1088,60.000,5.94,9.49,3.605,1.347,58.277,16.574
0,6,708,45,48,35,1089,5.000,7.89,9.58,3.867,1.367,61.321,25.758
0,4,1340,45,48,39,1089,5.000,6.92,9.63,3.457,1.385,78.396,26.992
1,25,1342,46,49,40,1089,5.000,5.23,9.69,4.612,1.384,83.535,24.987
0,8,1264,45,48,36,1089,2.000,6.64,9.76,4.036,1.384,83.750,23.590
0,6,1412,45,49,41,1089,16.000,6.45,9.83,3.053,1.382,81.745,20.967
0,9,1666,45,49,42,1130,15.000,4.68,9.89,3.790,1.379,77.686,21.788
3,32,1338,46,49,42,1251,15.000,0.00,9.89,2.674,1.366,71.321,17.730
0,12,1332,46,49,40,1376,15.000,3.45,9.98,3.581,1.343,58.235,17.137
3,56,1342,46,49,42,1483,15.000,3.03,9.91,3.487,1.341,58.241,13.924
1,49,1358,45,49,46,1604,15.000,2.68,9.92,3.464,1.344,57.076,15.624
4,48,1342,45,49,41,1724,15.000,0.00,9.92,3.485,1.341,56.753,13.647
1,17,1342,46,49,41,1841,0.000,2.86,9.94,3.807,1.342,58.601,15.017
3,70,1338,45,49,41,1956,0.000,2.87,9.94,3.297,1.337,56.630,12.893
2,49,1340,45,49,42,2055,0.000,2.70,9.96,3.532,1.342,56.843,14.911
4,101,1336,46,49,41,2161,0.000,0.38,9.96,3.417,1.338,55.463,12.881
4,64,1336,45,48,41,2265,0.000,2.48,9.98,3.648,1.332,55.843,14.782
8,169,1336,46,48,41,2353,0.000,3.35,9.98,3.597,1.326,55.662,12.767
8,169,1336,46,49,41,2459,0.000,4.26,10.01,3.604,1.329,54.913,14.354
11,259,904,46,49,37,2565,0.000,0.94,10.03,3.622,1.329,55.718,12.952
6,132,1332,45,49,41,2658,0.000,3.89,10.03,3.882,1.331,56.757,14.873
6,120,1332,46,49,41,2755,0.000,4.03,10.05,3.569,1.326,54.683,12.582
6,92,1552,45,49,41,2837,1.000,3.27,10.11,3.709,1.331,55.547,14.803
2,21,1266,46,49,39,2847,24.000,2.31,10.16,4.139,1.335,59.757,17.801
1,14,1166,45,49,37,2853,23.000,4.06,10.20,4.407,1.363,69.338,29.127
6,100,1032,45,49,41,2869,28.000,5.68,10.28,3.942,1.356,68.073,21.540
2,19,1638,45,49,38,2873,29.000,2.92,10.35,4.282,1.354,66.453,31.803
4,84,1636,46,49,39,2881,27.000,0.22,10.41,4.181,1.347,63.692,21.824
2,26,886,46,49,38,2882,29.000,4.21,10.49,3.934,1.343,63.316,23.980
3,50,2494,46,49,44,2886,26.000,3.35,10.57,4.207,1.343,61.574,17.420
0,11,1386,46,49,42,2893,27.000,4.28,10.63,4.060,1.347,63.722,19.504
2,32,1830,46,50,44,2893,29.000,1.39,10.70,4.259,1.346,62.201,21.441
1,19,2046,45,49,39,2893,30.000,0.90,10.75,4.128,1.344,60.602,19.774
3,41,1350,46,48,40,2893,27.000,3.71,10.83,3.741,1.331,56.353,12.958
1,36,1890,46,50,44,2899,22.000,2.93,10.89,4.551,1.343,61.169,16.381
0,12,1330,46,49,39,2901,29.000,3.55,10.95,4.566,1.345,61.771,14.923
0,5,910,46,48,34,2901,6.000,5.35,11.13,4.098,1.339,58.435,15.853
1,18,1338,46,49,38,2901,6.000,3.91,11.34,3.864,1.375,70.059,17.658
2,51,1296,46,49,43,3295,8.000,4.18,11.16,5.474,1.406,72.773,22.193
1,21,1116,46,49,39,3905,4.000,5.12,11.22,3.733,1.325,54.581,14.146
0,4,1344,46,49,39,3905,20.000,5.33,11.24,4.072,1.351,60.517,17.774
1,22,1356,46,49,42,3921,3.000,4.81,11.24,3.657,1.381,67.671,21.211
0,8,1342,46,49,38,3921,3.000,2.10,11.15,3.938,1.385,71.167,26.411
0,4,1342,46,49,39,3921,3.000,1.45,11.15,2.061,1.364,63.453,30.809
0,4,1342,46,49,39,3921,3.000,1.82,11.15,2.036,1.378,62.519,29.066
0,6,1340,45,49,39,3924,3.000,3.01,11.16,1.730,1.377,61.316,26.614
0,6,1340,45,49,39,3988,5.000,1.84,11.20,2.589,1.378,65.545,27.568
99,2370,1988,54,72,228,4002,100.000,2.25,11.20,2.813,1.369,64.199,25.100
99,2238,1988,58,77,280,4011,98.000,2.37,11.20,2.952,1.347,56.018,33.525
98,2241,1988,58,79,280,4017,97.000,4.15,11.20,2.576,1.336,54.510,30.814
99,2230,1990,59,78,281,4023,95.000,0.94,11.20,2.942,1.344,56.228,32.539
99,2233,1988,60,80,281,4028,93.000,2.93,11.20,2.530,1.341,54.825,30.214
99,2227,1988,60,80,280,4033,92.000,2.73,11.20,2.815,1.347,56.048,32.171
99,2226,1988,60,80,281,4038,89.000,0.05,11.20,2.472,1.337,54.669,29.743
98,2227,1988,60,80,280,4040,88.000,2.21,11.20,2.638,1.336,55.323,29.601
98,2224,1990,61,80,280,4043,88.000,2.89,11.20,2.507,1.332,54.239,28.576
98,2225,1988,61,80,280,4046,89.000,1.54,11.20,2.677,1.337,55.086,30.044
99,2215,1988,60,82,281,4052,90.000,0.60,11.20,2.413,1.338,54.764,30.002
99,2222,1990,61,82,280,4052,89.000,2.54,11.14,2.622,1.336,55.647,31.284
99,2223,1988,61,81,281,4052,89.000,3.68,11.13,2.482,1.338,55.173,30.560
99,2220,1988,61,82,280,4052,83.000,0.31,11.14,2.657,1.351,56.702,33.170
99,2224,1988,61,83,281,4052,78.000,2.09,11.14,2.866,1.354,58.244,35.449
99,2210,1990,61,82,281,4054,77.000,2.38,11.15,2.524,1.341,56.132,30.461
99,2201,1990,62,81,281,4055,75.000,2.55,11.14,2.264,1.331,54.714,28.615
99,2187,1988,62,83,281,4055,74.000,1.04,11.15,2.554,1.337,55.688,30.209
99,2196,1988,62,83,281,4055,73.000,0.55,11.14,2.249,1.336,54.876,29.097
99,2190,1988,63,82,281,4056,71.000,1.53,11.15,2.404,1.339,56.120,30.330
99,2197,1992,63,84,280,4057,71.000,3.53,11.14,2.201,1.319,54.257,26.908
99,2188,1990,63,83,281,4060,72.000,0.27,11.15,2.483,1.336,55.705,29.502
99,2194,1988,63,83,281,4061,72.000,1.91,11.14,2.235,1.328,54.539,27.865
99,2198,1988,63,84,281,4065,77.000,2.94,11.15,2.432,1.337,55.789,29.993
99,2247,1988,63,81,281,4066,85.000,3.68,11.14,2.854,1.348,58.245,34.751
