GPU 1 UTIL,GPU 1 SCLK,GPU 1 MCLK,GPU 1 TEMP,GPU 1 Hotspot,GPU 1 PWR,GPU VRAM 1 UTIL,FPS,CPU UTIL,RAM UTIL,CPU FREQUENCY,CPU VOLTAGE,CPU TEMPERATURE,CPU POWER
47.37,1087.57,1310.19,60.50,70.76,150.18,2512.41,79.07,2.64,10.40,2.55,1.31,65.39,27.99
1,13,192,45,47,22,1158,N/A,2.97,9.61,0.575,1.212,53.986,3.397
10,59,1332,46,49,42,1158,N/A,5.87,9.60,0.575,1.212,53.986,3.397
2,19,344,45,48,26,1158,N/A,4.10,9.58,0.575,1.212,53.986,3.397
0,7,196,45,48,23,1158,N/A,0.46,9.59,0.575,1.212,53.986,3.397
4,25,194,45,47,24,1158,N/A,2.06,9.61,0.575,1.212,53.986,3.397
23,495,190,45,47,23,1158,N/A,2.59,9.62,0.575,1.212,53.986,3.397
4,27,668,45,47,22,1158,N/A,3.97,9.61,0.575,1.212,53.986,3.397
7,40,460,45,47,21,1158,N/A,3.57,9.62,0.575,1.212,53.986,3.397
0,8,510,45,48,25,1158,N/A,1.41,9.60,0.575,1.212,53.986,3.397
1,13,302,45,47,22,1158,N/A,0.79,9.60,0.575,1.212,53.986,3.397
3,23,96,45,48,25,1158,N/A,0.92,9.59,0.575,1.212,53.986,3.397
5,33,908,45,48,24,1158,N/A,0.99,9.59,0.575,1.212,53.986,3.397
1,9,202,45,47,25,1158,N/A,1.38,9.60,0.575,1.212,53.986,3.397
1,12,492,45,48,24,1158,N/A,0.00,9.59,0.575,1.212,53.986,3.397
4,29,284,45,47,27,1158,N/A,1.59,9.59,0.575,1.212,53.986,3.397
2,18,610,45,48,25,1158,N/A,1.06,9.59,0.575,1.212,53.986,3.397
2,19,376,45,47,26,1158,N/A,1.57,9.59,0.575,1.212,53.986,3.397
1,10,704,45,48,26,1158,N/A,0.00,9.60,0.575,1.212,53.986,3.397
6,42,588,45,48,25,1158,N/A,0.83,9.59,0.575,1.212,53.986,3.397
4,29,1136,45,48,30,1158,N/A,1.19,9.60,0.575,1.212,53.986,3.397
6,36,386,45,47,27,1158,N/A,1.10,9.59,0.575,1.212,53.986,3.397
2,19,198,45,47,24,1158,N/A,0.00,9.59,0.575,1.212,53.986,3.397
2,17,684,45,47,26,1158,N/A,0.00,9.60,0.575,1.212,53.986,3.397
8,50,326,45,48,26,1158,N/A,1.20,9.59,0.575,1.212,53.986,3.397
1,11,384,45,48,26,1158,N/A,0.93,9.60,0.575,1.212,53.986,3.397
5,31,952,45,48,25,1158,N/A,0.88,9.59,0.575,1.212,53.986,3.397
4,29,138,45,48,27,1158,N/A,0.00,9.59,0.575,1.212,53.986,3.397
12,70,358,46,48,26,1158,N/A,0.02,9.59,0.575,1.212,53.986,3.397
3,21,194,45,47,24,1158,N/A,0.93,9.59,0.575,1.212,53.986,3.397
1,11,534,45,48,27,1158,N/A,1.15,9.60,0.575,1.212,53.986,3.397
9,51,348,45,48,25,1158,N/A,0.28,9.59,0.575,1.212,53.986,3.397
1,12,882,45,48,28,1158,N/A,0.00,9.59,0.575,1.212,53.986,3.397
1,9,952,45,47,25,1158,N/A,0.62,9.60,0.575,1.212,53.986,3.397
3,22,844,45,48,27,1158,N/A,1.06,9.59,0.575,1.212,53.986,3.397
1,13,232,45,47,26,1158,N/A,0.75,9.60,0.575,1.212,53.986,3.397
4,32,390,45,47,26,1158,N/A,0.00,9.59,0.575,1.212,53.986,3.397
1,9,192,45,47,24,1158,N/A,1.06,9.59,0.575,1.212,53.986,3.397
5,34,204,45,48,25,1158,N/A,0.67,9.60,0.575,1.212,53.986,3.397
1,9,196,46,47,24,1158,N/A,1.24,9.59,0.575,1.212,53.986,3.397
3,21,200,45,47,23,1158,N/A,0.00,9.60,0.575,1.212,53.986,3.397
1,12,194,45,47,22,1158,N/A,0.00,9.59,0.575,1.212,53.986,3.397
0,7,194,44,48,24,1158,N/A,1.40,9.59,0.575,1.212,53.986,3.397
2,19,192,45,47,23,1158,N/A,0.62,9.60,0.575,1.212,53.986,3.397
1,11,192,45,47,24,1158,N/A,0.67,9.59,0.575,1.212,53.986,3.397
5,34,192,45,47,23,1158,N/A,0.00,9.60,0.575,1.212,53.986,3.397
1,11,192,45,48,23,1158,N/A,1.06,9.59,0.575,1.212,53.986,3.397
0,6,212,45,47,24,1158,N/A,1.17,9.59,0.575,1.212,53.986,3.397
8,52,208,45,48,24,1158,N/A,0.69,9.60,0.575,1.212,53.986,3.397
0,8,194,45,48,23,1158,N/A,0.00,9.59,0.575,1.212,53.986,3.397
5,35,414,45,47,24,1158,N/A,1.95,9.60,0.575,1.212,53.986,3.397
1,11,194,45,47,22,1158,N/A,0.79,9.59,0.575,1.212,53.986,3.397
4,26,360,45,47,24,1158,N/A,1.33,9.59,0.575,1.212,53.986,3.397
1,10,192,45,47,21,1158,N/A,0.53,9.59,0.575,1.212,53.986,3.397
6,42,232,45,48,24,1158,N/A,0.00,9.59,0.575,1.212,53.986,3.397
4,26,680,45,48,23,1158,N/A,1.28,9.60,0.575,1.212,53.986,3.397
15,86,496,45,48,25,1158,N/A,0.82,9.59,0.575,1.212,53.986,3.397
3,25,336,45,47,23,1158,N/A,1.08,9.59,0.575,1.212,53.986,3.397
3,22,114,45,47,26,1158,N/A,0.00,9.59,0.575,1.212,53.986,3.397
8,52,584,45,47,23,1158,N/A,0.99,9.59,0.575,1.212,53.986,3.397
2,15,248,45,48,24,1158,N/A,0.70,9.60,0.575,1.212,53.986,3.397
1,9,430,45,48,25,1158,N/A,0.93,9.59,0.575,1.212,53.986,3.397
4,31,910,45,48,27,1158,N/A,0.00,9.59,0.575,1.212,53.986,3.397
4,25,782,45,48,26,1158,N/A,0.00,9.59,0.575,1.212,53.986,3.397
6,41,960,45,47,27,1158,N/A,0.80,9.58,0.575,1.212,53.986,3.397
1,12,286,45,47,25,1158,N/A,0.89,9.59,0.575,1.212,53.986,3.397
5,34,504,45,48,25,1158,N/A,0.69,9.59,0.575,1.212,53.986,3.397
5,37,204,45,48,24,1158,N/A,0.00,9.59,0.575,1.212,53.986,3.397
1,10,504,46,48,27,1158,N/A,1.30,9.59,0.575,1.212,53.986,3.397
4,31,492,45,48,27,1158,N/A,1.35,9.59,0.575,1.212,53.986,3.397
3,27,480,46,47,25,1158,N/A,1.38,9.59,0.575,1.212,53.986,3.397
6,42,126,45,47,26,1158,N/A,0.00,9.56,0.575,1.212,53.986,3.397
2,15,202,45,48,25,1158,N/A,0.42,9.57,0.575,1.212,53.986,3.397
