GPU 1 UTIL,GPU 1 SCLK,GPU 1 MCLK,GPU 1 TEMP,GPU 1 Hotspot,GPU 1 PWR,GPU VRAM 1 UTIL,FPS,CPU UTIL,RAM UTIL,CPU FREQUENCY,CPU VOLTAGE,CPU TEMPERATURE,CPU POWER
65.90,1531.33,1641.50,67.49,80.47,202.64,3043.85,78.90,3.43,10.63,3.30,1.34,70.91,37.79
2,21,254,51,53,25,1125,N/A,1.44,9.39,1.437,1.262,53.123,9.292
8,57,250,51,53,27,1125,N/A,2.62,9.40,1.713,1.291,54.287,12.439
6,43,250,51,54,29,1125,N/A,0.80,9.40,2.314,1.306,53.727,14.176
0,7,448,51,53,25,1125,N/A,1.47,9.41,1.434,1.284,53.911,11.713
0,5,192,50,53,24,1125,N/A,3.91,9.47,3.207,1.331,64.425,19.213
20,496,228,51,53,28,1125,N/A,3.76,9.48,4.298,1.326,71.995,38.276
2,22,698,51,53,28,1125,N/A,1.78,9.45,4.728,1.342,75.894,50.568
3,27,538,51,54,27,1125,N/A,0.00,9.45,3.754,1.378,67.639,32.743
3,27,538,51,54,27,1125,N/A,0.00,9.45,3.754,1.378,67.639,32.743
14,247,192,51,53,24,1125,N/A,2.66,9.47,3.472,1.373,66.308,28.634
0,7,192,51,53,25,1126,N/A,3.19,9.47,1.942,1.318,59.452,16.283
1,15,192,51,53,24,1125,N/A,4.49,9.48,3.014,1.326,60.731,17.808
8,55,192,50,53,26,1125,N/A,3.43,9.49,2.553,1.378,71.780,22.142
3,23,124,51,53,25,1125,N/A,1.21,9.46,3.565,1.377,72.610,23.234
2,19,286,51,53,26,1125,N/A,5.69,9.47,3.106,1.376,64.720,22.823
1,10,252,51,53,24,1125,N/A,5.88,9.47,3.606,1.361,63.646,17.928
3,29,318,51,53,26,1125,N/A,6.67,9.47,3.414,1.332,59.883,15.147
1,13,584,51,53,26,1125,N/A,0.00,9.47,4.328,1.358,62.508,17.333
1,24,356,51,53,27,1125,N/A,1.05,9.47,1.872,1.298,56.351,11.837
4,46,168,51,53,26,1125,N/A,1.27,9.47,1.128,1.253,53.192,7.913
7,54,746,51,53,28,1125,N/A,4.21,9.46,1.091,1.255,53.010,7.882
0,14,204,51,53,25,1125,N/A,10.25,9.47,3.835,1.346,65.360,17.774
3,22,492,50,53,27,1125,N/A,21.65,9.46,5.326,1.354,86.329,22.886
2,33,120,51,53,25,1125,N/A,53.93,9.46,5.252,1.349,93.134,35.973
2,16,672,51,53,27,1125,N/A,72.44,9.51,5.112,1.263,90.439,59.016
1,14,194,50,53,26,1125,N/A,1.23,9.46,4.289,1.157,73.077,51.557
1,9,862,51,54,28,1125,N/A,1.26,9.46,1.195,1.275,55.832,10.943
10,58,126,50,53,27,1125,N/A,2.71,9.53,1.072,1.266,53.812,7.995
1,13,186,51,53,29,1125,N/A,2.18,9.50,4.184,1.294,67.786,47.302
3,21,366,51,53,27,1125,N/A,2.16,9.50,4.035,1.382,73.329,38.651
1,12,266,51,53,26,1125,N/A,2.83,9.51,3.661,1.373,65.812,28.812
15,214,204,51,53,26,1125,N/A,3.24,9.51,2.716,1.346,64.256,23.160
1,12,266,50,53,27,1125,N/A,1.59,9.53,2.219,1.309,57.390,14.413
5,33,192,51,53,25,1125,N/A,3.11,9.53,2.889,1.368,67.935,22.254
1,14,192,51,53,24,1125,N/A,3.27,9.51,2.752,1.365,67.641,21.635
