GPU 1 UTIL,GPU 1 SCLK,GPU 1 MCLK,GPU 1 TEMP,GPU 1 Hotspot,GPU 1 PWR,GPU VRAM 1 UTIL,FPS,CPU UTIL,RAM UTIL,CPU FREQUENCY,CPU VOLTAGE,CPU TEMPERATURE,CPU POWER
66.31,1538.13,1628.28,65.77,78.79,202.36,3643.92,79.67,3.57,11.10,3.44,1.35,68.99,37.92
0,7,332,48,51,23,1726,N/A,1.94,9.87,1.489,1.265,53.000,8.665
3,31,772,49,51,24,1726,N/A,1.77,9.87,1.281,1.252,52.996,8.737
2,16,138,48,50,20,1726,N/A,1.49,9.87,1.281,1.252,52.996,8.737
6,38,902,49,52,29,1726,N/A,0.00,9.87,1.920,1.287,52.998,11.637
1,10,728,49,51,26,1726,N/A,4.18,9.87,1.450,1.268,52.998,8.962
6,40,312,48,51,17,1726,N/A,5.42,9.95,3.147,1.363,66.679,23.002
15,86,614,49,51,37,1726,N/A,2.93,9.93,4.704,1.299,68.968,45.895
1,9,272,49,51,24,1726,N/A,1.31,9.93,4.518,1.374,73.094,49.485
2,17,160,49,51,27,1726,N/A,3.51,9.94,3.482,1.362,62.940,25.380
13,202,204,48,51,26,1726,N/A,3.71,9.94,3.490,1.364,63.853,26.521
0,7,498,48,51,27,1726,N/A,2.76,9.95,2.689,1.301,55.674,13.919
0,6,102,49,51,27,1726,N/A,4.74,9.94,2.576,1.346,61.638,19.969
0,6,192,48,51,24,1726,N/A,1.45,9.94,2.855,1.371,67.862,21.635
2,15,192,48,51,24,1726,N/A,4.53,9.93,2.855,1.371,67.862,21.635
2,15,192,48,51,23,1726,N/A,5.38,9.94,2.591,1.369,61.992,19.251
3,22,226,48,51,25,1726,N/A,3.88,9.93,3.370,1.358,60.579,17.861
0,7,192,48,51,23,1726,N/A,4.39,9.94,3.399,1.324,56.506,13.902
2,15,126,48,51,24,1726,N/A,0.60,9.94,4.137,1.352,59.149,16.524
1,11,190,48,51,28,1726,N/A,1.11,9.94,1.876,1.286,52.968,10.182
4,28,202,48,51,24,1726,N/A,1.59,9.94,1.595,1.279,52.957,9.277
1,11,200,48,51,25,1726,N/A,5.56,9.94,1.443,1.272,52.958,8.561
0,5,632,49,51,28,1726,N/A,13.71,9.93,4.825,1.379,69.669,20.622
2,19,192,48,51,24,1726,N/A,30.11,9.93,5.287,1.350,89.510,25.363
0,5,192,49,51,23,1726,N/A,66.37,9.93,5.047,1.220,85.118,59.786
0,6,192,49,51,23,1726,N/A,32.69,9.93,5.047,1.220,85.118,59.786
0,6,192,49,51,23,1726,N/A,32.69,9.93,5.047,1.220,85.118,59.786
6,39,702,48,51,25,1726,N/A,0.00,9.93,2.943,1.239,63.856,32.013
0,7,192,49,51,22,1726,N/A,3.37,10.00,1.349,1.263,52.830,7.919
6,36,308,48,51,26,1726,N/A,3.58,10.01,3.374,1.267,59.541,32.176
1,13,192,49,50,23,1726,N/A,3.09,9.97,4.233,1.372,73.488,47.767
3,22,80,49,51,26,1726,N/A,0.00,9.98,3.493,1.366,63.344,26.672
