GPU 1 UTIL,GPU 1 SCLK,GPU 1 MCLK,GPU 1 TEMP,GPU 1 Hotspot,GPU 1 PWR,GPU VRAM 1 UTIL,FPS,CPU UTIL,RAM UTIL,CPU FREQUENCY,CPU VOLTAGE,CPU TEMPERATURE,CPU POWER
67.55,1684.08,1714.68,58.69,73.88,224.30,3708.43,83.83,3.42,11.62,3.44,1.36,63.81,17.81
4,42,528,47,49,28,1709,N/A,0.99,10.40,1.239,1.247,50.792,6.820
4,32,168,47,50,27,1709,N/A,1.40,10.40,1.700,1.265,50.921,8.701
0,3,194,47,49,26,1709,N/A,1.52,10.40,1.840,1.273,50.954,9.071
3,22,1134,47,50,36,1709,N/A,1.05,10.39,1.594,1.263,51.267,9.804
8,54,902,47,50,38,1709,N/A,0.09,10.40,1.816,1.286,51.751,11.345
0,5,426,47,50,29,1709,N/A,7.36,10.41,2.300,1.296,52.863,14.167
14,101,1330,47,50,36,1709,N/A,4.71,10.48,3.192,1.368,71.192,22.741
1,15,718,48,51,50,1709,N/A,4.51,10.46,4.657,1.292,69.023,48.625
1,18,286,47,50,30,1709,N/A,0.00,10.45,4.068,1.379,72.368,42.481
6,45,542,47,50,33,1709,N/A,2.26,10.47,3.580,1.359,62.088,24.729
19,495,230,47,50,33,1709,N/A,4.20,10.46,2.887,1.359,62.867,24.319
7,47,1180,47,50,35,1709,N/A,4.08,10.46,2.477,1.318,56.494,17.565
1,22,414,47,50,32,1709,N/A,0.05,10.46,3.055,1.347,63.209,20.599
8,50,568,47,51,32,1709,N/A,4.81,10.46,2.871,1.370,66.955,21.091
2,16,786,47,50,34,1709,N/A,4.80,10.44,4.134,1.386,69.986,22.722
2,20,780,47,50,32,1709,N/A,5.06,10.45,3.060,1.364,61.811,21.886
1,22,528,48,50,33,1709,N/A,3.73,10.44,3.596,1.340,58.860,17.262
0,9,232,47,50,32,1709,N/A,4.99,10.45,2.799,1.345,58.485,16.095
3,22,624,47,50,33,1709,N/A,2.41,10.45,3.631,1.335,58.511,16.572
0,10,466,47,50,31,1709,N/A,1.09,10.45,1.635,1.289,52.289,9.631
6,37,814,48,50,33,1709,N/A,2.46,10.45,1.392,1.270,51.406,9.483
3,25,668,47,50,32,1709,N/A,5.39,10.46,1.610,1.282,51.659,10.039
0,6,218,47,50,30,1709,N/A,17.12,10.45,5.450,1.382,75.804,22.583
6,48,610,47,50,31,1709,N/A,38.33,10.45,5.284,1.355,90.502,30.402
6,48,610,47,50,31,1709,N/A,38.33,10.45,5.284,1.355,90.502,30.402
0,6,198,47,49,28,1709,N/A,84.37,10.44,5.211,1.318,90.123,50.830
1,12,634,47,50,31,1709,N/A,12.22,10.44,4.923,1.154,78.724,59.578
4,28,206,47,50,26,1709,N/A,1.73,10.44,2.797,1.298,61.927,26.138
1,16,196,47,49,27,1709,N/A,0.01,10.49,1.359,1.258,51.818,7.561
18,496,832,47,50,31,1709,N/A,3.27,10.53,2.318,1.272,55.373,21.490
1,16,268,48,50,29,1709,N/A,1.81,10.49,4.375,1.350,72.416,52.803
0,6,536,47,50,28,1709,N/A,1.12,10.49,3.692,1.366,64.737,29.943
18,496,1014,47,51,32,1709,N/A,0.30,10.51,3.572,1.364,62.635,25.365
5,34,306,47,50,29,1709,N/A,3.00,10.51,2.166,1.318,57.854,16.107
2,23,182,48,50,31,1709,N/A,5.38,10.52,2.403,1.310,56.762,15.932
3,41,734,47,50,30,1709,N/A,4.80,10.51,2.816,1.380,69.675,22.904
1,16,264,47,50,31,1709,N/A,1.48,10.50,3.212,1.372,67.955,23.026
0,9,958,47,50,30,1709,N/A,5.84,10.50,2.639,1.366,61.800,19.978
5,53,232,47,49,28,1709,N/A,5.00,10.50,3.327,1.351,59.553,16.539
1,17,568,47,50,30,1709,N/A,6.67,10.50,2.573,1.334,56.240,14.557
2,22,200,47,49,27,1709,N/A,0.00,10.50,3.355,1.350,59.056,15.695
1,10,226,47,50,26,1709,N/A,1.39,10.50,3.355,1.350,59.056,15.695
6,62,114,47,50,29,1709,N/A,0.75,10.50,1.177,1.260,50.802,6.980
2,30,136,47,50,29,1709,N/A,5.79,10.51,1.137,1.263,50.671,8.113
6,43,392,47,50,28,1709,N/A,13.07,10.50,4.669,1.365,67.254,18.748
1,15,262,47,49,29,1709,N/A,29.99,10.50,5.304,1.353,87.707,25.913
1,20,584,47,49,28,1709,N/A,71.55,10.50,5.017,1.200,82.316,59.585
6,47,838,47,50,31,1709,N/A,32.94,10.49,5.017,1.200,82.316,59.585
4,93,206,47,50,30,1890,N/A,4.12,10.74,3.384,1.241,63.328,31.255
2,33,2088,48,52,53,1890,60.000,7.17,10.74,3.417,1.348,61.737,25.883
0,12,1742,47,51,48,1890,60.000,4.58,10.74,3.745,1.383,66.916,33.968
0,14,1320,48,50,40,1890,60.000,7.10,10.74,5.142,1.363,60.926,16.092
1,20,508,47,50,35,1890,N/A,7.25,10.76,4.571,1.360,59.504,16.435
0,8,588,47,49,28,1892,60.000,7.16,10.84,3.966,1.354,59.648,15.673
0,0,20,48,49,20,1892,60.000,4.11,10.90,3.787,1.386,80.249,22.751
0,4,132,47,49,26,1892,60.000,6.73,10.95,3.786,1.386,82.365,22.190
0,6,242,47,50,25,1892,17.000,7.44,11.02,3.497,1.383,83.885,21.665
1,15,772,47,49,28,1892,12.000,7.66,11.08,3.365,1.383,82.400,21.470
3,43,852,47,50,30,1994,20.000,0.00,11.15,3.233,1.384,82.751,21.490
5,96,904,47,50,34,2135,20.000,1.79,11.19,3.565,1.372,70.606,18.524
1,32,1084,47,51,36,2308,20.000,1.49,11.18,3.331,1.360,64.179,17.463
2,51,834,47,50,34,2466,20.000,1.71,11.20,2.881,1.366,64.206,18.886
4,141,936,48,51,38,2631,20.000,0.00,11.21,3.209,1.359,63.077,16.903
7,105,846,48,50,37,2776,20.000,1.69,11.24,2.575,1.370,64.000,17.460
10,168,412,47,50,33,2919,0.000,3.04,11.24,2.969,1.358,62.827,17.661
10,168,412,47,50,33,2919,0.000,3.04,11.24,2.969,1.358,62.827,17.661
8,211,1168,47,50,37,3061,0.000,5.38,11.25,3.234,1.356,62.170,16.918
8,215,826,47,50,34,3181,0.000,1.97,11.27,4.234,1.356,62.199,16.567
