GPU 1 UTIL,GPU 1 SCLK,GPU 1 MCLK,GPU 1 TEMP,GPU 1 Hotspot,GPU 1 PWR,GPU VRAM 1 UTIL,FPS,CPU UTIL,RAM UTIL,CPU FREQUENCY,CPU VOLTAGE,CPU TEMPERATURE,CPU POWER
64.48,1608.68,1680.02,58.27,72.65,213.37,3574.35,83.23,3.49,10.96,3.35,1.34,67.93,37.93
0,7,336,46,48,24,1701,N/A,1.35,9.73,1.480,1.263,50.000,8.364
5,45,582,47,49,25,1701,N/A,0.00,9.73,1.613,1.266,50.000,8.211
12,88,654,46,49,27,1701,N/A,1.45,9.73,2.154,1.294,50.000,11.817
1,14,666,46,49,22,1701,N/A,1.18,9.78,1.893,1.280,50.000,11.788
3,22,218,46,49,18,1701,N/A,6.48,9.75,2.221,1.295,51.158,13.037
26,496,1326,46,50,38,1701,N/A,2.67,9.81,3.710,1.381,69.567,23.413
2,22,962,46,49,25,1701,N/A,1.43,9.80,5.407,1.384,77.971,52.656
0,6,210,47,49,25,1701,N/A,2.61,9.79,4.254,1.378,67.978,42.502
4,40,126,46,49,24,1701,N/A,3.48,9.82,3.969,1.363,62.554,28.752
17,496,584,46,49,25,1701,N/A,1.12,9.82,3.191,1.372,64.498,28.815
4,56,210,47,49,24,1701,N/A,2.11,9.82,2.412,1.312,54.346,16.901
0,12,628,46,49,27,1701,N/A,4.12,9.82,3.452,1.366,65.704,23.784
5,35,558,46,49,26,1701,N/A,4.52,9.81,2.857,1.365,64.779,21.939
2,22,192,46,48,22,1701,N/A,4.90,9.81,2.768,1.384,66.824,21.287
5,36,344,46,48,23,1701,N/A,1.54,9.81,3.393,1.351,58.240,17.893
1,14,192,46,49,21,1701,N/A,5.31,9.81,2.378,1.328,54.831,13.746
0,7,192,47,49,22,1701,N/A,5.36,9.81,3.110,1.353,56.787,16.458
0,14,192,46,49,22,1701,N/A,1.21,9.82,2.977,1.326,55.026,13.537
0,7,192,47,49,23,1701,N/A,0.00,9.81,2.197,1.306,50.617,15.625
6,48,190,46,49,22,1701,N/A,5.69,9.81,1.798,1.277,50.000,11.002
1,30,192,46,49,27,1701,N/A,10.41,9.81,3.962,1.356,62.008,36.364
2,30,190,46,49,23,1701,N/A,18.52,9.81,5.387,1.369,81.069,32.667
0,10,192,46,49,22,1701,N/A,42.99,9.81,5.280,1.358,90.411,37.136
0,12,192,46,48,20,1701,N/A,88.34,9.80,5.194,1.301,88.200,55.321
18,495,192,46,48,23,1701,N/A,0.27,9.80,4.869,1.125,74.409,59.173
14,87,156,46,48,21,1701,N/A,0.99,9.80,1.306,1.276,52.446,9.571
0,7,192,46,49,21,1702,N/A,2.74,9.86,1.278,1.262,50.655,7.820
5,39,756,46,49,23,1701,N/A,1.14,9.88,2.229,1.272,53.911,20.975
3,26,192,46,49,21,1701,N/A,4.20,9.85,4.395,1.344,71.050,52.277
9,66,294,46,49,23,1701,N/A,3.08,9.85,3.786,1.365,62.842,27.880
16,495,234,46,49,24,1701,N/A,1.97,9.86,3.318,1.361,60.145,25.547
5,43,200,46,49,24,1701,N/A,2.19,9.86,2.034,1.314,56.044,14.927
3,37,216,46,49,24,1701,N/A,2.74,9.86,2.349,1.342,58.399,19.775
2,26,312,46,49,26,1701,N/A,5.13,9.86,3.658,1.383,67.680,21.692
1,12,686,46,49,23,1701,N/A,3.78,9.86,3.396,1.369,66.829,21.850
4,47,192,46,49,22,1701,N/A,6.57,9.85,2.444,1.363,59.574,20.218
5,35,416,46,49,24,1701,N/A,1.29,9.86,3.071,1.350,57.445,16.654
1,23,196,46,49,24,1701,N/A,6.57,9.86,2.395,1.324,53.690,13.499
1,13,364,46,49,23,1701,N/A,3.40,9.86,3.333,1.351,56.635,16.414
2,27,190,46,49,23,1701,N/A,0.70,9.85,2.730,1.309,52.734,12.175
0,11,192,46,48,21,1701,N/A,0.00,9.86,1.413,1.256,50.000,7.375
3,28,630,46,49,23,1701,N/A,4.53,9.86,1.422,1.254,50.000,6.916
2,21,702,46,48,25,1701,N/A,11.30,9.86,3.749,1.326,59.929,15.093
0,7,468,46,49,26,1701,N/A,23.71,9.85,5.366,1.361,81.842,22.592
0,8,608,46,49,23,1701,N/A,44.01,9.84,5.270,1.363,91.053,42.344
0,4,192,46,49,22,1701,N/A,91.26,9.85,5.186,1.300,88.856,57.412
4,26,370,46,49,24,1701,N/A,0.99,9.84,4.875,1.120,73.044,57.871
4,27,172,46,49,27,1701,N/A,1.08,9.84,2.060,1.285,52.967,10.733
25,495,192,46,48,23,1725,N/A,0.00,10.07,1.217,1.262,50.502,8.010
1,14,2092,47,51,53,1874,60.000,7.39,10.09,1.671,1.289,52.087,12.447
1,14,2092,47,51,53,1874,60.000,6.33,10.09,4.395,1.368,62.987,28.835
2,21,764,46,50,40,1874,60.000,7.82,10.08,4.546,1.354,57.832,15.542
0,11,1590,46,50,43,1874,60.000,5.65,10.08,4.166,1.356,57.340,17.498
0,14,1972,47,50,44,1875,N/A,4.97,10.16,4.761,1.365,59.177,23.322
0,0,16,46,49,18,1875,60.000,6.28,10.22,4.955,1.376,68.187,21.049
0,0,14,46,48,17,1875,60.000,7.58,10.27,4.911,1.391,80.924,21.609
0,0,44,46,48,16,1875,15.000,8.11,10.34,3.221,1.386,81.337,23.313
0,4,266,46,49,25,1875,16.000,4.97,10.42,3.551,1.389,81.417,21.965
0,2,26,46,48,21,1928,14.000,5.37,10.50,5.387,1.385,81.521,23.614
4,91,942,46,49,33,2087,14.000,0.85,10.52,3.523,1.377,74.363,20.156
6,129,908,46,50,35,2247,14.000,3.97,10.53,3.223,1.357,61.559,16.001
1,29,648,47,50,34,2399,14.000,0.00,10.54,2.898,1.359,61.613,16.933
6,105,1016,46,50,35,2568,14.000,1.69,10.55,2.808,1.357,60.745,16.482
9,146,1216,46,49,36,2716,14.000,2.67,10.57,2.820,1.361,63.031,16.570
10,240,898,46,50,34,2861,0.000,1.34,10.58,2.919,1.355,60.428,17.777
12,274,776,47,50,36,3001,0.000,1.43,10.59,4.531,1.340,55.062,18.690
17,1083,554,46,50,36,3129,0.000,4.31,10.62,4.021,1.349,60.147,16.349
3,75,526,47,50,34,3270,0.000,4.90,10.63,4.028,1.345,58.358,14.582
11,251,900,46,49,33,3401,0.000,6.34,10.65,3.936,1.350,59.749,16.683
14,287,964,47,49,35,3524,0.000,4.01,10.68,4.318,1.351,60.314,15.404
9,116,1264,47,50,37,3629,1.000,2.41,10.73,4.190,1.349,59.304,16.080
0,10,748,46,50,32,3636,22.000,7.44,10.79,3.297,1.362,63.702,20.612
2,20,318,47,48,26,3650,25.000,7.45,10.86,3.749,1.377,72.365,30.864
4,81,372,46,49,28,3659,29.000,5.61,10.94,3.803,1.377,72.724,32.039
2,41,1478,47,49,29,3666,29.000,4.01,11.04,4.095,1.376,71.729,33.995
0,10,634,46,49,27,3672,27.000,4.60,11.14,3.784,1.371,69.549,26.024
2,29,522,47,50,30,3678,29.000,6.20,11.26,4.503,1.376,69.935,23.231
0,9,1020,46,49,31,3679,29.000,4.51,11.34,4.268,1.380,70.671,23.318
0,7,310,46,49,31,3679,30.000,9.48,11.45,4.775,1.380,71.627,28.684
1,28,604,46,49,28,3684,19.000,7.22,11.52,3.229,1.376,69.568,18.411
2,29,1128,46,50,34,3687,28.000,6.49,11.66,3.646,1.372,67.790,19.768
0,5,432,46,49,24,3687,4.000,6.06,11.82,4.184,1.387,70.579,18.864
0,7,296,46,49,23,4028,6.000,3.37,11.76,3.167,1.403,72.959,21.733
1,33,370,47,49,32,4093,10.000,5.68,11.85,4.099,1.368,64.768,18.439
0,4,244,46,49,34,4690,6.000,5.56,11.76,4.283,1.350,59.644,15.786
0,4,194,46,48,23,4690,2.000,6.40,11.75,3.425,1.373,64.158,20.507
0,6,270,46,49,23,4707,10.000,0.00,11.74,3.948,1.396,74.845,23.355
0,6,270,46,49,23,4707,10.000,0.00,11.74,3.948,1.396,74.845,23.355
0,9,506,46,49,25,4707,10.000,1.95,11.75,1.813,1.377,61.084,26.835
0,9,226,46,49,24,4707,10.000,0.99,11.75,2.002,1.375,62.027,26.381
0,5,346,46,48,24,4710,10.000,2.53,11.76,2.342,1.378,61.627,27.146
0,0,32,46,48,20,4767,10.000,3.35,11.79,2.234,1.380,63.866,28.144
99,2386,2088,58,79,306,4794,94.000,3.45,11.80,2.819,1.379,67.315,23.601
99,2371,2088,61,81,305,4804,104.000,3.02,11.80,3.016,1.343,56.136,34.456
99,2366,2090,61,82,305,4814,103.000,0.00,11.81,3.145,1.350,57.368,34.636
99,2362,2088,61,82,305,4820,101.000,3.49,11.80,2.953,1.361,57.745,36.149
99,2361,2088,62,82,305,4823,99.000,3.10,11.80,2.930,1.340,56.451,32.870
99,2360,2088,62,83,305,4824,97.000,1.97,11.80,2.712,1.337,55.707,32.177
99,2354,2088,63,84,305,4827,95.000,0.18,11.81,2.961,1.341,56.458,32.615
99,2361,2088,63,84,306,4828,94.000,2.93,11.80,2.606,1.339,55.413,31.232
99,2354,2088,63,83,306,4831,93.000,2.46,11.80,2.750,1.340,55.647,31.098
99,2355,2090,62,83,305,4833,94.000,0.00,11.80,2.671,1.338,54.847,30.710
99,2358,2090,62,84,306,4838,95.000,2.75,11.80,2.638,1.355,57.645,35.129
99,2363,2090,63,84,306,4839,95.000,3.40,11.74,2.592,1.341,55.651,32.785
99,2363,2088,63,84,305,4839,95.000,1.73,11.74,2.742,1.338,56.244,32.482
99,2363,2088,62,83,306,4839,90.000,1.15,11.74,2.654,1.351,57.056,34.149
99,2352,2090,63,84,306,4841,83.000,1.81,11.74,2.666,1.339,55.950,31.081
99,2341,2088,63,84,306,4842,82.000,2.19,11.74,2.369,1.339,54.989,29.984
99,2338,2088,63,84,306,4842,80.000,0.00,11.74,2.499,1.335,55.224,29.730
99,2333,2090,63,85,305,4843,79.000,2.68,11.73,2.609,1.351,58.648,35.262
99,2345,2088,63,85,305,4844,78.000,2.89,11.73,2.539,1.341,56.111,30.376
99,2337,2088,63,85,305,4844,76.000,3.87,11.73,2.244,1.334,55.097,29.732
99,2330,2088,63,85,307,4846,76.000,0.55,11.73,2.323,1.336,55.475,29.737
99,2326,2090,63,85,307,4849,76.000,2.16,11.73,2.496,1.332,55.271,29.994
99,2336,2090,64,84,305,4850,77.000,2.19,11.73,2.548,1.347,56.378,31.351
99,2376,2088,63,83,306,4855,79.000,2.23,11.74,2.292,1.322,54.851,28.881
99,2374,2090,63,83,306,4855,90.000,0.14,11.74,4.846,1.396,65.337,54.186
99,2380,2088,63,83,306,4855,90.000,3.31,11.74,3.692,1.379,65.272,47.376
99,2380,2088,63,83,306,4857,90.000,3.06,11.74,3.651,1.382,66.277,47.900
99,2382,2088,63,85,306,4859,90.000,0.28,11.74,3.736,1.382,66.963,48.948
99,2376,2090,63,84,305,4860,90.000,3.17,11.74,3.738,1.381,66.832,47.589
99,2383,2088,63,84,305,4860,90.000,4.10,11.74,3.848,1.381,67.323,48.630
99,2383,2088,62,82,305,4860,90.000,4.16,11.74,3.928,1.383,67.095,48.077
99,2378,2088,62,83,306,4861,87.000,1.36,11.74,3.957,1.383,67.300,49.157
99,2340,2090,63,84,307,4864,78.000,4.55,11.74,3.823,1.377,66.818,48.307
99,2345,2088,63,83,306,4865,78.000,4.72,11.74,3.757,1.367,65.522,45.558
99,2352,2090,63,83,305,4867,78.000,2.99,11.74,3.700,1.367,66.243,46.861
99,2356,2088,63,83,305,4867,78.000,4.65,11.74,3.707,1.364,65.827,45.770
99,2357,2088,63,83,305,4868,78.000,2.25,11.74,3.683,1.366,66.082,46.072
99,2356,2088,63,86,305,4869,68.000,4.10,11.74,3.852,1.368,66.927,47.755
94,2361,2084,63,84,304,4870,49.000,3.86,11.74,3.855,1.373,66.759,47.531
92,2349,2086,62,83,302,4870,49.000,0.22,11.74,4.215,1.378,68.727,51.656
94,2366,2088,63,85,302,4870,48.000,1.75,11.74,4.110,1.375,68.671,50.383
80,2067,2084,62,81,292,4871,48.000,3.53,11.74,4.069,1.375,68.936,50.777
91,2294,2086,62,82,300,4871,49.000,4.38,11.74,4.091,1.379,68.614,50.643
85,2191,2096,63,84,304,4873,49.000,2.28,11.76,4.274,1.377,68.894,51.278
96,2409,2088,62,84,302,4874,48.000,4.41,11.79,4.040,1.373,69.248,51.640
95,2370,2088,63,83,304,4874,49.000,5.58,11.74,3.898,1.348,81.022,56.703
96,2396,2088,63,85,306,4874,50.000,3.65,11.75,4.156,1.363,72.572,53.279
98,2399,2090,63,84,306,4875,51.000,3.13,11.75,4.187,1.374,69.308,50.840
98,2405,2088,63,84,307,4875,49.000,4.99,11.75,4.151,1.382,69.274,51.466
88,2248,2088,63,84,306,4875,50.000,5.07,11.74,4.129,1.376,69.264,50.566
93,2358,2088,64,83,306,4875,49.000,1.77,11.75,4.106,1.385,69.793,51.962
92,2271,2082,63,84,302,4875,48.000,4.75,11.74,4.190,1.375,69.476,50.869
86,2234,2086,63,84,300,4875,49.000,5.00,11.74,4.043,1.383,69.127,50.908
88,2267,2088,63,84,301,4875,49.000,5.23,11.74,4.267,1.373,70.669,52.093
95,2378,2088,63,85,306,4876,49.000,0.61,11.74,3.896,1.378,69.262,50.833
94,2331,2088,63,83,305,4877,50.000,4.71,11.74,3.898,1.375,70.231,51.589
98,2409,2088,62,84,307,4878,54.000,3.66,11.74,3.946,1.374,69.750,51.390
99,2429,2088,62,82,306,4879,78.000,1.16,11.74,4.047,1.372,69.864,51.270
99,2419,2090,63,82,305,4879,78.000,3.80,11.74,3.887,1.374,71.155,51.449
99,2415,2088,63,82,305,4880,79.000,4.02,11.74,3.938,1.370,71.990,52.482
99,2403,2088,62,82,307,4880,78.000,2.85,11.74,3.934,1.377,71.959,52.588
99,2405,2090,63,82,305,4880,77.000,3.90,11.74,4.152,1.376,72.142,52.538
99,2410,2088,63,82,305,4880,76.000,4.31,11.74,3.961,1.377,71.173,50.610
97,2405,2088,63,84,306,4882,72.000,2.74,11.74,3.775,1.381,71.587,52.327
95,2386,2088,63,82,305,4883,67.000,3.48,11.74,3.985,1.375,70.615,49.906
95,2377,2088,62,83,307,4884,67.000,2.96,11.74,4.157,1.371,71.160,51.138
89,2275,2086,62,84,304,4885,66.000,2.03,11.74,4.248,1.372,70.930,50.202
97,2384,2088,62,83,306,4885,66.000,4.68,11.74,3.867,1.373,70.454,50.576
96,2376,2088,63,84,307,4885,65.000,5.54,11.74,4.235,1.373,71.103,50.162
99,2351,2088,64,85,306,4885,63.000,4.38,11.74,4.149,1.372,71.111,50.469
99,2336,2088,63,84,306,4885,62.000,0.00,11.74,3.470,1.368,66.872,43.277
99,2350,2088,63,84,306,4886,62.000,3.40,11.74,3.017,1.358,63.368,37.948
99,2353,2088,64,85,305,4886,62.000,2.70,11.74,2.972,1.362,63.070,39.278
99,2352,2090,64,85,305,4887,62.000,0.27,11.74,3.294,1.362,64.451,40.364
99,2343,2088,63,85,307,4887,61.000,3.08,11.74,4.783,1.395,68.610,52.820
99,2354,2090,64,84,305,4887,61.000,2.40,11.74,3.606,1.371,67.384,44.032
99,2358,2088,63,84,306,4888,62.000,1.28,11.74,3.861,1.375,67.714,44.691
99,2354,2088,63,84,305,4888,61.000,5.41,11.74,4.095,1.374,70.224,47.446
91,2245,2086,63,84,302,4888,60.000,4.69,11.74,4.233,1.375,70.282,47.866
97,2348,2088,63,86,306,4888,58.000,5.56,11.74,4.402,1.373,71.539,48.884
92,2352,2086,63,85,306,4889,65.000,2.29,11.74,4.403,1.368,71.001,46.980
89,2211,2088,64,85,303,4889,68.000,5.83,11.75,4.526,1.373,70.811,50.467
86,2238,2086,63,83,301,4891,66.000,6.66,11.75,4.504,1.372,70.524,49.267
89,2274,2086,63,85,302,4892,64.000,5.04,11.75,4.603,1.371,71.312,49.938
89,2271,2086,62,85,296,4893,61.000,6.14,11.75,4.602,1.369,70.766,49.459
72,1972,2082,63,82,284,4894,59.000,5.14,11.75,4.457,1.369,70.941,49.522
83,2153,2088,61,82,281,4894,57.000,2.70,11.75,4.621,1.371,70.941,49.317
81,2144,2086,61,82,280,4894,57.000,3.13,11.75,4.376,1.370,71.392,49.196
76,2089,2086,62,82,273,4894,55.000,3.51,11.75,4.502,1.374,71.607,49.213
77,2096,2084,61,80,273,4894,56.000,1.20,11.75,4.851,1.370,72.197,49.465
78,2059,2086,61,79,270,4894,54.000,3.80,11.75,4.617,1.371,71.674,49.511
69,1955,2088,60,78,257,4894,53.000,2.87,11.75,4.357,1.368,71.494,49.883
53,1639,2092,59,72,213,4897,35.000,3.12,11.76,4.550,1.374,71.190,49.447
53,1639,2092,59,72,213,4897,35.000,1.23,11.75,4.622,1.376,69.668,49.139
54,1629,2092,58,73,212,4897,35.000,3.12,11.76,4.469,1.374,68.932,48.005
59,1741,2094,57,71,201,4898,37.000,3.91,11.76,4.579,1.377,69.231,47.909
59,1729,2082,58,71,204,4900,38.000,1.41,11.76,4.043,1.380,67.717,46.537
56,1648,2082,57,70,198,4902,38.000,3.01,11.75,4.484,1.378,68.755,46.743
33,1240,2084,57,70,188,4902,37.000,4.12,11.76,4.350,1.386,68.710,47.580
52,1642,2080,56,66,186,4902,38.000,1.17,11.75,4.449,1.379,68.748,46.007
30,1212,2072,56,69,179,4902,38.000,2.64,11.76,4.300,1.392,68.389,48.057
38,1325,2094,56,69,180,4902,38.000,3.52,11.75,4.521,1.378,68.648,47.068
51,1601,2082,56,67,184,4903,65.000,4.46,11.76,4.312,1.391,68.745,47.293
61,1750,2080,57,69,213,4903,66.000,0.71,11.75,4.478,1.377,68.487,47.233
59,1681,2082,57,72,210,4903,66.000,3.31,11.76,4.570,1.390,68.875,47.776
50,1530,2080,57,70,208,4903,64.000,1.76,11.76,4.569,1.387,69.611,48.115
45,1469,2086,57,71,208,4904,64.000,3.25,11.76,4.413,1.386,69.277,47.506
59,1678,2080,57,71,205,4905,62.000,4.85,11.77,4.498,1.385,69.333,46.705
