GPU 1 UTIL,GPU 1 SCLK,GPU 1 MCLK,GPU 1 TEMP,GPU 1 Hotspot,GPU 1 PWR,GPU VRAM 1 UTIL,FPS,CPU UTIL,RAM UTIL,CPU FREQUENCY,CPU VOLTAGE,CPU TEMPERATURE,CPU POWER
62.88,1455.35,1573.48,64.45,77.10,191.99,2721.75,78.12,3.23,9.34,3.18,1.33,68.62,34.87
23,496,1340,46,50,41,818,N/A,0.94,8.06,4.449,1.312,69.058,46.037
2,19,748,46,49,31,818,N/A,0.51,8.07,4.409,1.367,74.619,49.665
0,9,234,46,49,27,818,N/A,2.07,8.06,3.930,1.373,64.894,34.330
14,245,270,46,48,25,818,N/A,2.62,8.08,3.342,1.369,64.240,27.127
1,18,192,45,48,21,818,N/A,3.21,8.08,2.366,1.307,55.879,16.096
3,25,574,45,48,24,818,N/A,4.74,8.08,2.220,1.340,60.091,19.691
11,73,524,45,48,27,818,N/A,1.65,8.08,3.770,1.380,69.268,21.362
9,52,676,46,48,25,818,N/A,3.06,8.08,3.182,1.382,69.726,22.364
2,24,298,46,48,25,818,N/A,5.51,8.07,2.752,1.368,61.264,19.691
15,86,414,45,48,26,818,N/A,4.00,8.08,4.010,1.355,60.326,17.352
10,61,580,45,48,25,818,N/A,5.95,8.07,3.239,1.323,56.600,13.421
2,16,566,46,48,25,818,N/A,1.55,8.07,4.255,1.335,58.233,14.740
3,26,292,45,48,26,818,N/A,0.00,8.07,1.527,1.278,52.246,9.097
7,44,630,45,49,27,818,N/A,0.92,8.07,1.209,1.254,51.000,6.177
7,49,288,46,48,25,818,N/A,6.57,8.07,1.259,1.259,51.000,7.250
4,27,728,45,48,28,818,N/A,15.72,8.07,5.142,1.356,69.368,18.828
0,10,658,46,49,27,818,N/A,35.00,8.07,5.301,1.356,89.981,27.926
3,24,40,45,48,26,818,N/A,72.54,8.06,5.007,1.199,82.810,59.814
5,40,230,45,48,25,818,N/A,27.04,8.06,5.007,1.199,82.810,59.814
0,8,392,45,48,26,818,N/A,0.55,8.06,2.717,1.246,62.397,28.338
6,40,350,46,48,26,818,N/A,1.06,8.13,1.226,1.254,51.955,6.424
2,27,254,46,48,25,818,N/A,5.48,8.10,3.470,1.279,59.960,32.746
6,46,48,46,48,26,818,N/A,3.52,8.10,4.245,1.370,73.019,46.376
2,21,846,45,48,25,818,N/A,2.77,8.11,3.367,1.358,61.873,22.663
18,495,370,46,48,27,818,N/A,1.41,8.12,3.395,1.365,62.696,23.461
1,12,70,45,48,27,818,N/A,2.45,8.13,2.838,1.292,54.778,12.184
5,35,832,45,48,27,818,N/A,3.29,8.13,2.284,1.332,60.645,17.725
1,12,944,46,49,26,818,N/A,5.58,8.12,2.635,1.363,65.914,19.147
5,47,622,46,48,26,818,N/A,2.77,8.13,4.288,1.385,69.776,22.856
2,16,1008,46,49,26,818,N/A,5.79,8.12,2.506,1.365,60.581,17.696
4,30,434,45,48,26,818,N/A,1.63,8.12,3.605,1.348,58.813,15.587
4,46,626,46,48,29,818,N/A,5.65,8.12,3.173,1.323,56.039,13.031
4,33,508,46,48,26,818,N/A,2.32,8.12,3.319,1.347,58.382,14.962
1,18,272,46,48,24,818,N/A,0.89,8.12,1.660,1.281,52.419,9.063
0,8,216,46,48,23,818,N/A,1.36,8.12,1.074,1.243,51.034,5.735
3,42,182,45,48,22,818,N/A,2.69,8.11,1.660,1.257,51.000,7.352
2,18,196,45,47,23,818,N/A,12.53,8.12,4.388,1.341,64.617,15.738
0,8,214,45,48,24,818,N/A,28.99,8.11,5.325,1.352,86.964,23.632
0,8,214,45,48,24,818,N/A,28.99,8.11,5.325,1.352,86.964,23.632
2,20,192,45,48,21,818,N/A,66.40,8.12,5.054,1.221,84.011,59.566
1,18,680,46,49,25,818,N/A,33.69,8.12,5.054,1.221,84.011,59.566
1,18,646,46,48,26,992,0.000,3.81,8.78,3.034,1.225,61.931,27.731
11,349,1982,46,50,48,1000,N/A,6.41,8.35,3.459,1.353,62.555,30.162
1,14,1976,46,50,52,1000,60.000,6.02,8.36,4.246,1.375,66.550,29.397
0,20,410,46,49,36,1000,60.000,7.23,8.36,4.891,1.358,60.383,16.344
0,10,976,46,49,37,1000,60.000,7.08,8.35,5.332,1.361,59.905,15.457
0,6,580,47,49,39,1001,N/A,7.65,8.42,3.836,1.353,59.540,15.542
0,0,18,45,48,16,1001,60.000,5.10,8.48,4.957,1.380,80.044,28.064
0,0,20,46,48,14,1001,60.000,6.97,8.53,3.542,1.385,84.542,20.361
0,0,22,45,48,14,1001,16.000,5.72,8.60,4.407,1.385,82.925,21.378
0,0,24,45,48,20,1001,14.000,6.70,8.67,2.772,1.377,81.232,20.128
0,10,250,45,48,17,1036,15.000,2.55,8.74,4.630,1.381,79.397,20.264
10,113,210,46,49,32,1156,15.000,1.57,8.75,4.569,1.369,72.917,19.649
2,34,1106,46,49,35,1245,15.000,3.88,8.81,3.556,1.362,63.161,23.276
7,185,1154,45,49,33,1393,15.000,2.61,8.77,3.617,1.343,59.924,12.950
6,90,908,46,49,34,1509,15.000,3.30,8.78,3.283,1.342,58.243,14.156
4,67,968,46,49,35,1625,15.000,1.38,8.79,3.626,1.345,58.348,14.853
4,56,1210,46,49,36,1747,0.000,2.48,8.81,3.849,1.343,60.092,14.250
5,95,448,45,49,32,1852,0.000,2.64,8.82,3.614,1.343,58.663,12.813
11,222,934,46,48,36,1956,0.000,2.01,8.83,3.464,1.344,58.165,14.000
5,122,904,46,49,34,2063,0.000,0.01,8.84,3.436,1.343,56.885,13.128
1,36,698,46,48,32,2167,0.000,3.60,8.85,3.576,1.335,57.396,13.907
10,240,966,46,49,33,2255,0.000,3.56,8.86,3.589,1.330,57.212,13.075
5,132,872,46,48,33,2357,0.000,2.98,8.88,3.655,1.332,56.406,13.764
9,192,880,46,49,33,2465,0.000,3.79,8.91,3.524,1.332,56.807,13.012
8,215,880,46,49,35,2559,0.000,0.99,8.92,3.750,1.333,57.685,13.906
7,152,582,45,48,33,2652,0.000,1.04,8.94,3.632,1.330,56.837,13.131
1,30,544,46,49,31,2748,0.000,3.97,8.99,3.639,1.334,56.990,13.803
11,243,1110,46,48,30,2759,25.000,4.19,9.04,3.928,1.337,60.733,17.530
0,10,690,46,49,30,2764,23.000,4.98,9.08,4.186,1.367,69.408,26.964
0,20,1638,46,49,34,2779,26.000,3.85,9.14,4.150,1.357,70.609,22.765
3,36,1142,46,49,32,2784,29.000,0.00,9.21,4.426,1.356,68.955,28.053
0,8,814,46,49,31,2791,26.000,2.54,9.29,3.931,1.352,65.816,26.111
1,37,428,46,49,28,2793,29.000,3.41,9.35,4.190,1.347,63.457,18.196
1,38,344,46,48,30,2798,26.000,3.04,9.44,4.028,1.340,63.292,19.835
5,75,906,46,49,32,2804,29.000,0.65,9.51,3.998,1.350,65.927,19.897
0,25,976,46,49,34,2804,29.000,0.35,9.55,4.223,1.351,64.090,20.347
0,19,192,46,48,30,2805,30.000,2.60,9.62,3.921,1.346,62.647,20.997
0,10,492,46,48,29,2805,29.000,2.60,9.69,3.821,1.338,58.878,14.406
0,11,344,46,49,28,2810,20.000,3.83,9.74,4.325,1.344,61.470,14.987
0,11,702,46,48,31,2811,29.000,0.43,9.81,4.615,1.354,64.506,15.832
0,6,952,45,48,27,2812,28.000,5.81,9.97,4.293,1.343,60.708,14.796
0,4,610,46,48,23,2812,3.000,7.08,10.19,3.750,1.397,72.188,19.353
0,24,1398,46,50,38,3199,13.000,3.96,10.02,3.562,1.407,75.695,21.348
0,3,178,45,48,24,3215,4.000,5.51,10.11,3.215,1.335,57.619,14.905
0,0,600,46,48,24,3816,5.000,2.71,10.11,4.202,1.357,61.712,15.951
0,0,30,46,48,20,3832,3.000,5.76,10.11,3.370,1.378,67.391,21.919
0,0,258,45,48,20,3832,3.000,5.19,10.02,3.882,1.388,75.104,24.868
0,0,20,45,48,19,3832,3.000,1.47,10.02,2.277,1.370,64.504,31.610
0,0,20,46,48,18,3832,3.000,0.00,10.02,2.193,1.386,63.684,28.883
2,44,730,45,48,25,3836,3.000,2.73,10.04,2.284,1.382,63.812,27.532
43,1247,1110,46,49,29,3899,3.000,4.44,10.08,2.767,1.383,66.495,27.986
98,2241,1990,56,76,280,3911,100.000,3.40,10.08,3.050,1.377,68.293,25.552
99,2228,1990,58,79,280,3918,99.000,0.00,10.08,2.801,1.345,57.133,31.973
98,2227,1990,59,80,280,3922,97.000,2.40,10.08,2.912,1.345,57.232,31.713
99,2225,1990,60,80,280,3928,96.000,3.62,10.08,2.782,1.339,56.904,31.410
98,2228,1988,60,80,280,3932,94.000,3.01,10.09,2.757,1.343,57.139,30.978
99,2228,1988,60,81,280,3938,92.000,0.00,10.08,2.904,1.347,57.882,31.667
99,2233,1990,60,81,279,3943,90.000,2.61,10.08,2.741,1.338,56.774,30.061
99,2223,1990,61,81,281,3945,88.000,2.33,10.08,2.717,1.332,56.588,29.665
99,2224,1990,61,82,281,3947,88.000,2.94,10.08,2.658,1.332,56.440,28.675
99,2221,1988,61,80,280,3958,89.000,2.77,10.08,2.617,1.336,56.237,29.503
99,2230,1988,62,81,281,3964,90.000,0.08,10.08,2.619,1.333,56.497,30.435
99,2230,1988,62,81,281,3964,89.000,4.47,10.01,2.577,1.342,56.728,30.785
99,2229,1988,61,79,281,3964,90.000,3.26,10.02,2.652,1.336,57.036,30.628
99,2227,1988,61,80,281,3965,84.000,2.23,10.01,2.601,1.339,57.013,31.100
99,2232,1988,61,80,281,3965,78.000,0.00,10.02,2.399,1.332,56.510,28.872
99,2213,1988,62,82,281,3966,77.000,3.18,10.01,2.509,1.330,55.861,28.105
99,2198,1988,62,80,281,3968,75.000,2.45,10.02,2.439,1.332,56.335,28.107
99,2199,1988,62,83,280,3969,74.000,2.17,10.01,2.548,1.334,56.495,28.661
99,2196,1990,62,83,280,3970,73.000,0.00,10.01,2.455,1.333,56.477,28.330
99,2196,1990,62,83,280,3970,73.000,0.00,10.01,2.455,1.333,56.477,28.330
99,2201,1988,63,83,281,3970,71.000,3.00,10.01,2.558,1.328,55.961,27.718
99,2188,1990,63,83,280,3970,71.000,2.55,10.01,2.447,1.335,56.498,28.337
99,2195,1988,63,83,281,3971,72.000,3.15,10.01,2.359,1.326,55.675,26.509
99,2195,1990,63,84,280,3971,72.000,2.11,10.01,2.439,1.334,56.530,28.198
98,2195,1988,63,84,280,3981,75.000,0.00,10.01,2.595,1.331,56.120,27.389
99,2235,1988,63,82,280,3983,85.000,2.55,10.01,2.699,1.340,58.235,32.119
99,2238,1988,63,82,280,3984,85.000,2.68,10.01,3.643,1.381,65.352,45.159
99,2232,1988,63,82,281,3987,85.000,0.07,10.00,3.638,1.380,66.750,45.450
99,2231,1988,63,82,280,3987,85.000,4.11,10.01,3.558,1.375,66.987,44.898
99,2236,1988,63,82,281,3987,85.000,4.35,10.00,3.409,1.376,66.926,45.191
99,2232,1990,63,82,281,3987,85.000,3.73,10.00,3.414,1.376,67.056,44.980
99,2231,1988,64,83,280,3987,85.000,2.00,10.00,3.885,1.377,67.547,45.770
99,2230,1988,63,82,280,3989,81.000,2.36,10.00,3.684,1.374,66.802,45.194
99,2198,1988,64,83,281,3991,73.000,3.07,10.00,3.795,1.372,67.257,44.678
99,2204,1988,64,83,280,3992,73.000,4.32,10.00,3.539,1.361,65.991,42.864
99,2196,1988,64,83,280,3992,73.000,1.04,10.00,3.786,1.360,65.933,43.193
99,2208,1988,64,83,280,3992,74.000,5.41,10.00,3.515,1.357,65.534,42.593
99,2212,1990,64,85,280,3992,74.000,4.33,10.00,3.782,1.367,66.992,44.154
99,2214,1988,64,83,281,3993,62.000,1.38,10.00,3.696,1.359,66.268,43.014
70,1843,1980,64,82,277,3993,48.000,2.96,10.00,3.953,1.366,67.078,44.680
88,2164,1988,64,83,279,3993,47.000,4.17,10.00,4.003,1.383,69.201,49.814
97,2273,1990,65,83,282,3994,48.000,3.91,10.00,4.256,1.380,70.138,50.573
97,2273,1988,64,83,280,3999,48.000,3.53,10.00,3.949,1.377,69.263,49.308
98,2268,1988,65,84,281,3999,48.000,1.56,10.00,4.099,1.378,70.132,49.752
98,2277,1988,65,83,282,4000,48.000,4.60,10.00,4.048,1.374,69.873,48.940
97,2251,1988,65,84,280,4000,49.000,3.71,10.00,4.246,1.374,70.245,49.482
96,2250,1988,64,83,280,4000,49.000,4.00,10.00,3.940,1.378,70.252,49.600
97,2255,1988,65,84,279,4000,50.000,1.30,10.00,4.156,1.378,70.370,49.513
98,2258,1988,65,84,280,4000,50.000,3.92,10.00,3.935,1.380,70.138,49.420
96,2231,1990,65,83,280,4001,49.000,3.72,9.99,4.150,1.379,70.959,50.257
98,2267,1990,65,83,281,4001,48.000,3.52,10.00,4.027,1.375,70.352,49.063
97,2252,1988,65,85,281,4001,48.000,0.00,9.99,4.160,1.375,70.626,49.094
88,2150,1988,65,84,278,4001,48.000,3.85,10.00,3.945,1.377,70.510,49.429
