GPU 1 UTIL,GPU 1 SCLK,GPU 1 MCLK,GPU 1 TEMP,GPU 1 Hotspot,GPU 1 PWR,GPU VRAM 1 UTIL,FPS,CPU UTIL,RAM UTIL,CPU FREQUENCY,CPU VOLTAGE,CPU TEMPERATURE,CPU POWER
62.27,1443.43,1667.47,66.72,80.10,192.73,3424.83,77.30,3.53,11.77,3.36,1.34,67.51,35.37
0,5,194,48,50,23,1616,N/A,0.00,10.57,2.230,1.255,50.093,8.220
0,5,494,48,51,24,1616,N/A,2.83,10.57,1.723,1.274,49.254,8.727
6,36,368,48,50,23,1616,N/A,1.57,10.57,1.978,1.287,49.220,10.189
10,59,910,48,51,30,1616,N/A,2.56,10.58,2.068,1.288,50.290,14.712
1,13,800,48,50,23,1616,N/A,0.00,10.58,2.888,1.298,53.184,16.348
2,19,428,48,50,28,1616,N/A,1.29,10.58,1.873,1.262,49.322,8.270
0,5,568,48,51,24,1616,N/A,3.75,10.59,1.765,1.243,49.323,7.277
3,24,646,48,51,22,1616,N/A,5.32,10.65,2.728,1.336,60.532,16.492
22,496,926,48,51,39,1616,N/A,1.95,10.68,3.720,1.325,66.294,38.364
0,9,220,49,50,26,1616,N/A,2.29,10.63,4.210,1.366,69.947,46.737
1,17,764,48,51,27,1616,N/A,2.54,10.63,3.697,1.359,61.554,26.367
26,496,782,48,51,27,1616,N/A,3.94,10.66,3.770,1.355,60.180,24.585
1,15,770,48,51,25,1616,N/A,0.72,10.65,2.448,1.349,61.784,22.625
0,8,376,48,50,25,1616,N/A,5.30,10.65,2.034,1.327,54.509,14.880
8,59,780,48,50,23,1616,N/A,4.06,10.65,3.799,1.339,56.968,15.553
2,19,612,48,50,27,1616,N/A,6.29,10.65,3.584,1.319,54.122,13.690
1,20,256,48,50,23,1616,N/A,3.75,10.65,4.503,1.336,56.048,14.811
1,13,240,48,51,29,1616,N/A,0.00,10.65,2.528,1.312,52.977,13.092
6,39,472,48,50,26,1616,N/A,1.41,10.65,1.487,1.256,49.246,6.273
3,31,682,48,50,25,1616,N/A,3.58,10.65,1.428,1.257,49.275,6.817
5,38,312,48,50,24,1616,N/A,10.31,10.65,3.304,1.314,56.599,12.467
1,14,782,49,50,26,1616,N/A,21.49,10.64,5.399,1.356,78.601,21.627
6,49,352,48,50,26,1616,N/A,45.32,10.64,5.301,1.363,88.728,34.626
6,49,352,48,50,26,1616,N/A,45.32,10.64,5.301,1.363,88.728,34.626
7,46,220,48,50,24,1616,N/A,95.73,10.64,5.197,1.306,88.480,57.396
2,17,460,48,51,27,1616,N/A,1.47,10.66,4.858,1.126,73.968,59.232
6,38,258,48,50,25,1616,N/A,5.99,10.66,3.839,1.358,67.004,21.215
6,83,458,48,51,25,1616,N/A,6.84,10.65,4.049,1.363,66.718,20.035
5,36,798,48,50,27,1616,N/A,1.57,10.65,4.665,1.373,69.447,24.050
1,13,732,48,51,25,1616,N/A,0.00,10.65,1.873,1.263,50.194,8.149
7,44,332,48,50,23,1616,N/A,4.42,10.70,2.061,1.272,49.700,8.724
4,27,190,47,51,25,1616,N/A,2.86,10.69,4.892,1.322,67.780,51.104
5,35,400,48,50,26,1616,N/A,2.12,10.69,3.820,1.371,65.149,34.258
2,18,270,48,51,24,1616,N/A,1.79,10.70,3.723,1.355,59.682,25.325
18,496,612,48,51,25,1616,N/A,0.00,10.70,3.244,1.344,59.740,24.508
2,17,422,48,51,26,1616,N/A,1.93,10.70,3.244,1.344,59.740,24.508
3,24,402,48,50,26,1616,N/A,1.43,10.70,3.244,1.344,59.740,24.508
1,13,578,48,51,26,1616,N/A,1.50,10.70,3.244,1.344,59.740,24.508
6,40,304,48,51,25,1616,N/A,0.00,10.70,3.244,1.344,59.740,24.508
1,14,192,48,50,25,1616,N/A,1.26,10.70,3.244,1.344,59.740,24.508
2,16,422,48,51,25,1616,N/A,1.31,10.69,3.244,1.344,59.740,24.508
2,18,294,48,50,25,1616,N/A,1.36,10.69,3.244,1.344,59.740,24.508
3,21,620,48,51,26,1616,N/A,1.86,10.69,3.244,1.344,59.740,24.508
3,25,114,48,50,22,1616,N/A,0.00,10.69,3.244,1.344,59.740,24.508
1,12,622,48,51,25,1616,N/A,1.75,10.69,3.244,1.344,59.740,24.508
4,32,152,48,50,25,1616,N/A,1.06,10.69,3.244,1.344,59.740,24.508
1,14,196,48,50,24,1616,N/A,1.79,10.69,3.244,1.344,59.740,24.508
3,23,420,48,50,24,1616,N/A,1.47,10.69,3.244,1.344,59.740,24.508
3,24,254,48,50,24,1616,N/A,0.63,10.69,3.244,1.344,59.740,24.508
0,9,576,48,51,24,1616,N/A,0.00,10.69,3.244,1.344,59.740,24.508
4,29,318,48,50,24,1616,N/A,0.77,10.69,3.244,1.344,59.740,24.508
1,9,590,48,50,22,1616,N/A,1.81,10.69,3.244,1.344,59.740,24.508
7,43,354,48,51,26,1616,N/A,0.89,10.69,3.244,1.344,59.740,24.508
1,12,872,48,50,25,1616,N/A,0.00,10.69,3.244,1.344,59.740,24.508
14,77,238,48,50,23,1616,N/A,0.99,10.69,3.244,1.344,59.740,24.508
4,28,712,48,51,25,1616,N/A,1.86,10.69,3.244,1.344,59.740,24.508
3,26,210,48,50,25,1616,N/A,1.55,10.69,3.244,1.344,59.740,24.508
3,25,758,48,50,23,1616,N/A,0.00,10.69,3.244,1.344,59.740,24.508
1,11,648,49,51,27,1616,N/A,1.14,10.69,3.244,1.344,59.740,24.508
6,39,478,49,50,24,1616,N/A,1.72,10.69,3.244,1.344,59.740,24.508
4,26,236,49,50,27,1616,N/A,1.87,10.69,3.244,1.344,59.740,24.508
0,8,228,49,50,24,1616,N/A,1.66,10.69,3.244,1.344,59.740,24.508
4,26,186,48,51,25,1616,N/A,1.18,10.69,3.244,1.344,59.740,24.508
2,20,528,49,51,25,1616,N/A,0.00,10.69,3.244,1.344,59.740,24.508
6,41,1176,48,51,30,1616,N/A,2.59,10.69,3.244,1.344,59.740,24.508
1,14,706,48,51,26,1616,N/A,1.18,10.69,3.244,1.344,59.740,24.508
4,25,362,48,51,28,1616,N/A,1.82,10.69,3.244,1.344,59.740,24.508
3,24,824,48,51,27,1616,N/A,0.94,10.69,3.244,1.344,59.740,24.508
9,61,752,48,51,27,1616,N/A,0.00,10.69,3.244,1.344,59.740,24.508
3,28,258,48,50,25,1616,N/A,1.45,10.69,3.244,1.344,59.740,24.508
1,12,506,48,51,26,1616,N/A,1.20,10.69,3.244,1.344,59.740,24.508
9,57,468,48,50,24,1616,N/A,2.05,10.69,3.244,1.344,59.740,24.508
6,38,282,48,50,23,1616,N/A,1.00,10.69,3.244,1.344,59.740,24.508
5,42,314,48,51,24,1616,N/A,0.00,10.69,3.244,1.344,59.740,24.508
4,30,118,48,50,23,1616,N/A,0.82,10.69,3.244,1.344,59.740,24.508
9,63,164,48,50,23,1616,N/A,1.66,10.68,3.244,1.344,59.740,24.508
2,19,404,48,50,26,1616,N/A,1.10,10.68,3.244,1.344,59.740,24.508
5,38,760,48,50,25,1616,N/A,1.24,10.68,3.244,1.344,59.740,24.508
2,17,792,48,51,23,1616,N/A,0.73,10.68,1.725,1.257,49.293,7.244
2,16,392,48,50,27,1616,N/A,5.38,10.68,3.381,1.337,53.226,14.499
4,28,442,48,51,25,1616,N/A,4.71,10.68,2.997,1.341,55.089,15.062
6,44,714,48,51,26,1616,N/A,5.39,10.68,3.072,1.319,52.505,12.886
2,20,196,49,50,23,1616,N/A,0.21,10.68,3.373,1.336,54.636,14.876
7,45,590,48,51,27,1616,N/A,0.25,10.68,2.039,1.286,49.678,9.289
2,19,870,49,51,27,1616,N/A,2.50,10.68,1.708,1.258,49.360,7.431
1,14,724,48,51,27,1616,N/A,6.14,10.68,1.851,1.263,49.363,7.769
2,20,382,49,51,25,1616,N/A,12.86,10.68,5.178,1.345,64.515,17.206
1,10,492,48,51,27,1616,N/A,30.19,10.68,5.326,1.364,87.993,27.362
0,2,150,49,52,24,1616,N/A,69.76,10.68,5.060,1.225,82.502,59.947
0,2,150,49,52,24,1616,N/A,69.76,10.68,5.060,1.225,82.502,59.947
7,45,546,48,51,24,1616,N/A,37.39,10.70,5.060,1.225,82.502,59.947
0,9,192,48,50,23,1616,N/A,3.79,10.70,4.384,1.267,68.691,34.682
0,7,282,48,50,24,1616,N/A,5.42,10.69,3.831,1.363,65.832,19.633
1,13,192,48,50,21,1616,N/A,1.38,10.69,4.385,1.342,65.684,16.166
0,7,498,48,51,25,1792,0.000,3.63,11.00,1.751,1.252,49.535,7.094
0,14,1984,49,53,50,1798,62.000,7.15,10.92,2.957,1.307,54.499,18.644
0,7,1864,49,53,50,1798,60.000,5.75,10.92,4.423,1.365,61.083,26.082
0,16,1918,49,52,43,1798,60.000,6.04,10.92,4.211,1.346,56.707,15.618
1,22,1996,49,53,44,1798,60.000,8.16,10.92,4.358,1.362,58.507,23.030
3,33,306,49,51,30,1799,11.000,5.84,11.00,3.946,1.349,56.044,13.144
0,7,1332,49,52,40,1799,11.000,7.11,11.07,3.818,1.378,71.792,20.538
2,20,1244,48,52,29,1799,11.000,6.99,11.12,5.227,1.393,81.203,20.984
0,7,1342,49,52,41,1799,2.000,6.97,11.18,4.846,1.391,80.567,21.501
7,80,1258,49,52,39,1799,15.000,4.49,11.25,4.301,1.391,79.768,21.004
0,8,1418,49,52,44,1862,14.000,4.88,11.33,3.634,1.391,79.432,20.649
2,36,1256,49,51,37,2023,14.000,1.37,11.33,3.481,1.374,72.106,18.888
9,179,1208,49,52,42,2182,14.000,0.00,11.34,3.761,1.357,61.328,15.381
4,72,1418,49,52,42,2334,14.000,1.14,11.36,2.805,1.353,60.279,14.648
7,92,916,48,51,39,2504,14.000,2.60,11.38,3.362,1.351,59.562,15.083
6,120,1144,49,52,39,2650,14.000,0.00,11.40,3.582,1.361,61.376,14.955
7,119,1318,49,52,40,2791,0.000,3.62,11.41,3.355,1.350,58.778,14.720
10,197,988,49,51,37,2925,0.000,4.61,11.42,3.174,1.352,58.674,14.448
16,1000,380,49,52,36,3052,0.000,3.66,11.43,3.215,1.338,56.414,14.134
12,265,730,49,52,37,3187,0.000,3.45,11.45,3.871,1.335,56.552,13.670
5,78,1260,49,52,39,3317,0.000,3.38,11.47,3.656,1.339,56.861,15.114
10,212,614,49,51,35,3432,0.000,4.61,11.51,3.901,1.338,57.752,13.603
9,147,1086,49,52,42,3547,1.000,6.89,11.56,4.042,1.336,57.374,14.321
0,14,1264,49,52,43,3560,23.000,5.85,11.61,3.387,1.351,61.389,18.414
1,17,1858,49,52,46,3572,23.000,4.14,11.68,3.745,1.373,70.273,27.748
0,6,2040,49,52,44,3583,28.000,6.84,11.76,3.671,1.385,72.778,24.562
2,33,1612,49,53,45,3590,29.000,5.74,11.86,3.493,1.370,70.034,36.098
0,12,1306,49,52,42,3592,27.000,3.94,11.96,4.615,1.367,69.667,21.073
1,29,1262,49,52,43,3603,28.000,4.12,12.08,3.572,1.369,70.160,24.869
1,14,468,49,52,41,3603,29.000,6.42,12.15,3.672,1.366,67.034,18.964
0,9,1306,49,51,43,3603,30.000,6.26,12.25,3.603,1.372,68.906,26.378
8,103,1372,49,52,42,3608,17.000,4.11,12.34,3.469,1.365,67.149,16.792
0,6,1694,49,53,47,3611,29.000,6.52,12.44,4.407,1.365,67.488,16.705
3,27,1342,49,52,42,3611,4.000,7.79,12.61,3.465,1.363,65.743,16.407
1,14,1698,49,53,43,3611,4.000,9.36,12.88,5.388,1.372,70.457,17.554
14,458,1350,50,52,45,4005,8.000,1.47,12.69,3.626,1.371,67.653,18.136
