GPU 1 UTIL,GPU 1 SCLK,GPU 1 MCLK,GPU 1 TEMP,GPU 1 Hotspot,GPU 1 PWR,GPU VRAM 1 UTIL,FPS,CPU UTIL,RAM UTIL,CPU FREQUENCY,CPU VOLTAGE,CPU TEMPERATURE,CPU POWER
66.35,1535.70,1657.64,68.68,81.76,203.57,2921.08,77.62,3.41,9.96,3.27,1.34,74.46,37.63
6,56,690,55,57,28,988,N/A,2.98,8.82,2.471,1.333,66.817,21.620
19,496,1342,55,59,49,988,N/A,4.66,8.85,4.370,1.321,80.414,35.570
3,33,140,55,57,28,988,N/A,2.28,8.80,4.466,1.314,81.780,54.043
5,35,366,55,57,29,988,N/A,0.00,8.80,3.784,1.386,76.860,37.457
23,496,148,55,57,29,988,N/A,2.45,8.82,3.596,1.400,75.111,32.525
1,11,630,55,58,31,988,N/A,1.84,8.82,3.218,1.369,72.277,28.977
9,58,788,55,57,31,988,N/A,4.87,8.83,2.696,1.331,65.791,18.393
4,28,876,54,57,31,988,N/A,1.16,8.84,3.521,1.372,79.293,23.973
6,59,906,55,58,34,988,N/A,2.85,8.82,2.538,1.362,74.459,22.846
1,12,254,55,57,31,988,N/A,6.13,8.82,2.982,1.385,76.243,26.871
1,12,254,55,57,31,988,N/A,5.20,8.81,3.034,1.392,72.445,23.234
10,69,396,55,57,30,988,N/A,6.52,8.82,3.040,1.372,68.076,19.364
2,18,636,54,57,30,988,N/A,1.61,8.82,3.597,1.386,71.657,19.139
6,40,436,54,57,31,988,N/A,0.66,8.83,2.732,1.356,66.497,17.599
1,15,622,55,57,34,988,N/A,1.59,8.82,1.181,1.263,58.481,8.345
6,39,742,54,57,32,988,N/A,3.23,8.82,1.322,1.282,58.311,9.495
5,34,632,54,57,30,988,N/A,10.72,8.82,3.234,1.331,67.539,15.514
1,11,916,54,57,34,988,N/A,20.47,8.82,5.293,1.330,87.468,21.349
3,26,424,54,56,32,988,N/A,50.91,8.82,5.071,1.238,92.972,52.503
3,26,424,54,56,32,988,N/A,50.91,8.82,5.071,1.238,92.972,52.503
7,56,242,54,57,34,988,N/A,45.81,8.82,5.071,1.238,92.972,52.503
0,10,196,54,56,30,988,N/A,0.00,8.81,3.224,1.212,73.977,37.293
5,57,198,53,56,31,988,N/A,2.79,8.90,3.224,1.212,73.977,37.293
3,36,202,54,56,31,988,N/A,5.47,8.89,3.255,1.273,68.449,33.862
0,9,938,54,56,33,988,N/A,3.93,8.85,4.423,1.347,81.864,46.472
2,25,342,53,56,30,988,N/A,2.65,8.86,3.521,1.396,74.375,31.921
13,232,860,53,57,34,988,N/A,0.15,8.87,3.230,1.386,74.090,29.702
4,38,676,53,56,34,988,N/A,2.62,8.87,2.075,1.325,64.506,16.658
0,14,218,53,56,35,988,N/A,4.75,8.87,2.349,1.330,67.569,18.758
0,7,212,53,55,32,988,N/A,4.73,8.88,2.649,1.367,76.109,21.885
2,17,260,53,56,33,988,N/A,1.19,8.87,3.533,1.369,79.122,21.264
0,8,192,53,55,30,988,N/A,6.27,8.86,2.343,1.394,71.492,22.624
3,24,214,53,55,31,988,N/A,3.86,8.87,3.316,1.378,69.570,18.037
0,9,190,53,55,27,988,N/A,4.91,8.87,3.683,1.356,66.944,17.223
3,26,492,53,56,32,988,N/A,1.40,8.87,3.098,1.365,68.020,16.904
4,33,958,53,56,33,988,N/A,0.00,8.87,1.465,1.293,59.760,10.532
2,15,190,53,55,27,988,N/A,0.66,8.87,1.155,1.263,57.887,7.959
1,20,264,53,55,29,988,N/A,7.03,8.87,1.337,1.278,57.961,9.808
0,7,192,52,55,26,988,N/A,15.76,8.87,5.014,1.365,79.430,20.224
5,37,66,53,55,27,988,N/A,33.22,8.87,5.224,1.311,94.289,24.952
0,8,192,53,55,25,988,N/A,79.13,8.86,5.159,1.292,95.011,42.947
4,28,200,53,55,27,988,N/A,13.64,8.86,4.927,1.162,87.815,57.261
13,154,442,52,55,24,1170,64.000,4.19,9.11,2.734,1.272,67.504,21.870
1,29,1990,53,57,55,1170,61.000,8.10,9.11,3.355,1.360,71.435,29.115
2,24,1198,53,56,49,1170,60.000,6.12,9.10,3.280,1.382,74.745,25.454
2,37,2080,53,57,48,1170,60.000,7.36,9.11,3.439,1.384,71.054,19.303
1,15,1812,53,56,48,1170,60.000,4.02,9.13,4.272,1.382,69.563,17.921
0,10,708,52,55,32,1171,7.000,7.37,9.20,3.525,1.386,69.770,18.857
0,6,268,52,54,23,1171,7.000,7.60,9.26,5.106,1.364,88.102,21.685
0,30,474,52,55,29,1171,7.000,7.17,9.31,3.291,1.354,90.098,20.181
0,16,746,52,55,25,1171,2.000,4.95,9.38,5.121,1.360,89.736,20.568
1,15,1234,52,55,32,1171,12.000,6.25,9.46,4.915,1.361,88.602,20.286
2,31,1024,52,55,35,1266,20.000,3.42,9.53,5.046,1.361,88.853,20.497
3,36,604,52,55,38,1415,20.000,2.88,9.55,3.529,1.367,79.290,19.747
3,53,1238,52,56,37,1573,20.000,1.45,9.55,2.950,1.368,72.934,17.657
5,89,876,52,55,34,1729,20.000,1.10,9.55,2.815,1.380,74.743,18.637
3,70,870,52,55,36,1895,20.000,1.78,9.56,3.506,1.369,73.252,18.195
11,252,716,52,55,35,2040,20.000,2.74,9.58,3.397,1.374,73.786,17.250
5,92,1240,52,55,34,2177,0.000,0.50,9.60,3.570,1.368,72.132,17.606
7,100,1274,52,55,38,2313,0.000,5.67,9.61,3.101,1.378,71.678,18.291
11,287,726,52,55,36,2437,0.000,4.59,9.62,4.332,1.379,72.364,18.955
9,210,538,52,55,34,2577,0.000,3.93,9.64,4.100,1.371,70.627,17.774
11,260,956,52,55,35,2706,0.000,2.01,9.66,4.407,1.378,72.964,18.188
8,206,874,52,55,37,2829,0.000,4.10,9.68,4.127,1.376,72.096,17.574
2,26,296,52,55,30,2926,1.000,5.95,9.74,4.270,1.376,71.453,17.957
0,5,256,52,55,29,2932,22.000,7.61,9.79,4.361,1.376,76.256,23.089
0,24,1042,52,55,35,2946,24.000,4.21,9.86,4.001,1.355,83.388,28.862
1,34,798,52,55,32,2955,29.000,5.17,9.93,4.788,1.366,81.618,27.653
5,124,1044,52,55,35,2963,28.000,6.85,10.04,3.732,1.361,81.783,35.162
0,7,310,52,55,27,2967,27.000,5.45,10.11,4.953,1.372,81.334,26.382
5,81,764,53,55,31,2975,28.000,4.82,10.23,4.247,1.373,80.920,23.942
0,6,924,52,55,38,2975,30.000,4.79,10.31,5.150,1.379,81.355,23.220
0,5,444,53,55,30,2975,29.000,7.71,10.41,4.118,1.376,81.602,29.677
0,11,772,53,55,31,2981,16.000,7.76,10.49,3.265,1.390,79.126,20.476
0,4,220,52,55,33,2983,29.000,7.28,10.59,3.416,1.389,80.435,19.997
0,7,668,52,55,27,2983,4.000,7.80,10.76,4.996,1.388,80.687,20.208
1,30,840,52,55,27,2983,4.000,4.89,11.05,3.485,1.382,83.428,19.945
0,2,132,52,55,30,3377,9.000,3.25,10.80,3.868,1.385,80.835,19.741
0,2,132,52,55,30,3987,6.000,5.65,10.72,3.934,1.370,68.339,19.259
0,12,310,52,55,33,3987,6.000,6.14,10.74,3.922,1.365,70.711,18.865
0,0,14,52,54,15,4003,3.000,1.65,10.73,2.933,1.381,78.744,21.933
1,16,712,52,55,27,4003,3.000,3.54,10.74,3.039,1.377,77.092,25.694
0,0,18,52,54,15,4003,3.000,2.68,10.75,2.247,1.383,71.197,28.851
0,5,404,52,55,27,4007,3.000,1.57,10.74,1.910,1.386,71.530,30.602
0,0,16,52,54,17,4010,3.000,0.54,10.75,2.343,1.384,72.464,30.765
5,75,448,52,54,24,4083,8.000,2.99,10.79,3.317,1.378,77.673,25.509
98,2233,1988,62,81,279,4096,97.000,2.60,10.79,3.254,1.368,71.449,30.805
98,2228,1990,64,83,281,4100,97.000,1.88,10.79,2.691,1.368,65.117,36.124
97,2230,1990,65,84,280,4105,95.000,0.20,10.79,3.051,1.374,66.988,38.526
98,2229,1988,66,84,281,4111,94.000,3.48,10.79,2.719,1.375,66.402,37.909
97,2233,1990,66,85,280,4114,91.000,2.87,10.79,2.857,1.373,66.924,37.591
98,2222,1988,66,86,281,4120,90.000,3.38,10.79,2.718,1.363,65.633,35.211
97,2220,1988,66,86,281,4125,88.000,1.88,10.79,2.875,1.366,66.026,35.725
98,2211,1988,66,85,280,4127,87.000,0.64,10.79,2.625,1.361,65.104,34.353
98,2211,1988,66,85,280,4127,87.000,0.64,10.79,2.625,1.361,65.104,34.353
98,2217,1990,67,86,281,4132,87.000,3.13,10.79,2.607,1.358,65.356,34.233
98,2201,1988,67,87,280,4140,88.000,2.04,10.79,2.688,1.364,64.709,34.781
97,2219,1988,67,86,280,4140,89.000,0.23,10.79,2.903,1.363,66.065,36.085
98,2213,1988,66,85,280,4140,88.000,2.50,10.73,2.582,1.365,64.841,34.831
97,2212,1990,67,86,280,4140,88.000,2.09,10.72,2.816,1.374,66.910,36.983
99,2208,1988,68,87,281,4141,81.000,2.58,10.73,2.701,1.368,65.772,36.435
99,2199,1994,67,87,280,4142,77.000,0.00,10.72,2.817,1.365,66.672,36.040
99,2181,1988,68,88,281,4144,75.000,4.11,10.73,2.683,1.363,65.814,34.706
98,2176,1990,68,88,281,4144,74.000,1.91,10.72,2.579,1.356,65.283,33.770
97,2188,1990,68,87,280,4144,73.000,0.00,10.73,2.549,1.359,64.859,34.242
97,2190,1988,68,87,280,4144,71.000,3.05,10.72,2.572,1.352,65.244,32.578
98,2186,1990,68,88,281,4145,70.000,2.32,10.73,2.620,1.360,65.215,34.208
98,2183,1988,69,88,280,4146,70.000,1.85,10.73,2.664,1.355,64.879,32.587
97,2181,1990,69,88,280,4146,71.000,0.00,10.73,2.581,1.357,64.996,33.288
98,2189,1988,69,89,281,4146,71.000,2.70,10.72,2.571,1.352,65.350,33.005
97,2179,1988,69,88,279,4152,78.000,2.42,10.73,2.586,1.364,65.726,34.251
99,2222,1988,68,87,281,4155,83.000,2.79,10.73,3.200,1.368,69.237,40.732
98,2226,1988,68,86,280,4156,83.000,0.99,10.73,3.758,1.369,73.392,46.031
99,2226,1988,69,88,281,4159,83.000,4.48,10.73,3.591,1.367,73.833,45.760
98,2226,1988,69,87,280,4161,83.000,3.21,10.73,3.643,1.365,73.729,46.270
97,2222,1988,68,87,280,4161,83.000,1.68,10.73,3.801,1.368,73.847,46.122
98,2221,1988,69,87,280,4162,84.000,4.71,10.73,4.009,1.362,76.157,49.592
97,2220,1988,69,88,280,4162,84.000,4.30,10.73,3.992,1.362,74.248,46.183
98,2180,1988,70,88,280,4164,77.000,2.95,10.73,3.908,1.367,73.961,46.647
99,2185,1988,69,88,282,4164,72.000,2.91,10.73,3.709,1.362,73.315,45.516
99,2186,1988,69,88,281,4165,72.000,2.58,10.73,3.518,1.359,73.263,45.041
99,2185,1988,69,88,281,4166,72.000,4.37,10.73,3.780,1.360,73.608,45.335
97,2186,1988,70,88,280,4168,73.000,3.93,10.73,3.732,1.360,73.489,45.568
99,2194,1988,69,89,280,4168,73.000,1.83,10.73,3.746,1.361,73.292,45.067
79,2067,1992,69,88,277,4170,53.000,5.19,10.72,3.768,1.359,73.811,45.985
84,2034,1988,70,89,281,4171,45.000,4.91,10.71,3.894,1.368,75.125,48.086
76,2022,1990,70,89,280,4171,45.000,1.75,10.72,3.938,1.366,75.330,49.199
91,2236,1988,70,90,282,4171,44.000,2.46,10.72,3.988,1.365,75.796,49.142
89,2167,1986,70,90,280,4171,46.000,2.81,10.72,3.903,1.370,75.919,49.767
90,2194,1990,70,90,279,4171,46.000,3.60,10.72,3.930,1.370,75.355,49.678
83,2014,1982,70,88,278,4172,46.000,1.82,10.72,4.127,1.370,75.789,49.872
95,2252,1988,70,90,282,4174,47.000,3.54,10.72,3.814,1.369,75.388,49.157
92,2140,1988,70,88,280,4176,47.000,1.96,10.72,3.835,1.370,75.954,49.981
96,2259,1988,70,89,282,4176,48.000,1.10,10.72,3.946,1.370,76.293,49.785
97,2233,1988,70,89,282,4176,47.000,3.60,10.72,4.025,1.366,76.088,49.997
97,2244,1988,70,89,281,4176,47.000,0.00,10.71,3.990,1.368,75.953,48.738
95,2225,1986,70,89,281,4176,46.000,3.66,10.72,3.966,1.367,76.816,50.178
94,2208,1990,69,89,282,4176,43.000,3.28,10.73,4.001,1.367,76.807,51.070
49,1478,1984,69,84,243,4178,40.000,3.72,10.79,3.994,1.357,78.211,53.101
91,2199,1986,71,88,282,4178,46.000,0.97,10.78,4.193,1.357,78.193,52.936
95,2231,1988,70,89,282,4178,46.000,3.59,10.79,3.787,1.368,76.600,49.311
99,2245,1988,71,90,281,4178,47.000,3.80,10.78,3.872,1.367,76.215,49.441
92,2165,1986,71,88,280,4178,47.000,0.93,10.79,3.969,1.366,76.573,49.600
89,2131,1986,70,88,278,4178,59.000,3.38,10.78,3.680,1.368,76.071,49.266
98,2261,1988,70,88,281,4178,71.000,3.49,10.79,3.737,1.364,76.683,49.289
98,2261,1988,70,88,281,4179,72.000,3.36,10.78,3.741,1.356,77.111,47.309
99,2261,1988,70,88,281,4180,72.000,1.46,10.79,3.695,1.357,76.805,48.289
99,2244,1988,70,88,281,4180,72.000,5.01,10.78,3.894,1.357,76.907,48.018
99,2239,1988,71,88,281,4181,71.000,3.33,10.79,3.869,1.359,78.036,49.429
98,2243,1990,71,89,280,4182,71.000,3.74,10.78,3.764,1.357,76.876,47.220
99,2229,1988,71,89,280,4182,65.000,0.00,10.78,3.988,1.359,77.090,48.234
96,2235,1990,71,91,282,4183,64.000,3.51,10.78,4.028,1.362,76.653,48.432
96,2235,1988,70,89,282,4183,64.000,4.97,10.79,4.073,1.360,77.114,48.553
91,2137,1988,71,89,279,4183,63.000,4.40,10.78,3.886,1.363,76.902,48.235
98,2247,1988,71,90,281,4183,62.000,1.35,10.79,4.025,1.359,77.297,48.335
95,2203,1988,71,89,280,4183,61.000,2.25,10.78,4.047,1.356,77.403,48.485
99,2184,1990,72,90,281,4183,58.000,3.27,10.79,4.009,1.363,77.453,49.327
99,2167,1988,72,90,281,4183,58.000,0.31,10.78,2.930,1.356,70.160,37.797
99,2186,1988,72,91,280,4183,58.000,3.48,10.79,3.163,1.356,70.468,38.601
99,2177,1988,71,91,281,4183,58.000,3.42,10.78,3.225,1.351,69.835,38.295
99,2189,1988,72,90,280,4183,58.000,2.70,10.79,3.195,1.360,71.098,39.993
99,2182,1988,72,90,281,4184,57.000,1.13,10.78,3.387,1.358,71.985,40.405
99,2173,1988,71,91,281,4184,57.000,3.04,10.79,3.598,1.361,73.496,42.794
99,2185,1988,72,92,279,4184,57.000,5.00,10.78,3.681,1.362,74.233,43.020
99,2187,1988,72,90,280,4185,57.000,4.96,10.79,4.004,1.354,75.958,44.072
99,2196,1988,72,91,280,4186,57.000,2.64,10.78,4.085,1.358,75.508,44.664
99,2193,1990,72,90,280,4186,56.000,4.35,10.79,4.321,1.357,77.575,47.072
99,2205,1988,72,90,280,4188,69.000,6.34,10.79,4.213,1.353,76.934,46.056
95,2177,1990,72,91,279,4190,66.000,2.24,10.79,4.199,1.354,76.492,48.659
90,2111,1986,73,91,281,4190,64.000,5.10,10.78,4.238,1.357,76.308,47.866
86,2092,1996,72,93,282,4190,62.000,5.38,10.79,4.558,1.353,77.206,48.908
75,1887,1986,72,91,276,4191,59.000,2.66,10.79,4.536,1.354,77.097,47.865
84,2087,1988,72,92,281,4191,58.000,4.38,10.79,4.243,1.358,77.619,48.239
71,1962,1988,71,91,273,4191,56.000,5.45,10.79,4.339,1.358,76.962,47.921
84,2116,1988,72,93,277,4192,56.000,1.23,10.79,4.372,1.357,77.539,48.528
68,2048,1990,72,91,267,4193,54.000,2.83,10.79,4.286,1.359,77.471,48.134
65,1757,1984,71,90,258,4193,54.000,3.55,10.79,4.289,1.359,77.620,48.101
65,1750,1994,72,89,257,4193,53.000,2.43,10.79,4.048,1.358,76.901,47.468
66,1822,1980,71,87,251,4194,46.000,3.21,10.79,4.527,1.357,77.616,48.450
40,1447,1992,68,82,202,4195,35.000,3.26,10.79,4.337,1.365,76.516,48.582
35,1251,1984,69,85,199,4195,35.000,0.50,10.79,4.441,1.362,75.994,48.314
53,1498,1996,68,81,197,4195,35.000,3.53,10.79,4.500,1.364,75.302,47.683
50,1455,1980,68,81,194,4196,37.000,3.61,10.79,4.422,1.367,75.691,48.321
34,1222,1992,68,80,191,4196,37.000,2.55,10.79,4.594,1.382,75.083,48.121
30,1198,1982,68,80,185,4197,37.000,0.34,10.79,4.397,1.372,75.690,47.679
33,1201,1994,67,81,180,4198,37.000,3.49,10.79,4.332,1.377,75.392,46.807
