GPU 1 UTIL,GPU 1 SCLK,GPU 1 MCLK,GPU 1 TEMP,GPU 1 Hotspot,GPU 1 PWR,GPU VRAM 1 UTIL,FPS,CPU UTIL,RAM UTIL,CPU FREQUENCY,CPU VOLTAGE,CPU TEMPERATURE,CPU POWER
63.54,1467.44,1676.31,68.52,81.54,196.94,2876.79,78.14,3.52,10.35,3.25,1.34,74.06,36.42
2,23,712,58,60,31,1038,N/A,0.00,9.21,1.456,1.286,59.680,10.820
0,4,262,58,60,30,1038,N/A,1.67,9.22,1.872,1.297,60.276,13.049
0,8,150,57,60,27,1038,N/A,2.03,9.22,1.894,1.308,59.556,12.845
8,50,294,57,60,24,1038,N/A,2.10,9.22,2.311,1.327,61.726,18.266
5,36,192,57,59,26,1038,N/A,0.00,9.23,2.605,1.314,62.035,14.926
2,22,514,57,59,24,1038,N/A,5.87,9.21,1.902,1.297,59.767,10.905
8,62,380,56,59,26,1039,N/A,4.51,9.29,3.790,1.359,79.834,21.887
1,14,838,57,60,47,1038,N/A,3.28,9.27,4.519,1.288,78.085,46.699
0,5,758,57,60,32,1038,N/A,0.00,9.26,4.124,1.361,82.216,44.970
2,16,238,57,59,34,1038,N/A,3.84,9.28,3.709,1.395,76.193,31.301
14,208,982,56,59,32,1038,N/A,3.49,9.29,3.721,1.378,77.486,29.901
1,10,224,56,59,29,1038,N/A,2.70,9.29,2.244,1.336,68.255,17.576
0,6,224,56,59,30,1038,N/A,1.84,9.27,3.111,1.351,72.801,20.304
6,38,148,56,58,29,1038,N/A,5.47,9.28,2.760,1.358,76.436,22.405
0,8,352,56,59,32,1038,N/A,4.70,9.28,4.097,1.372,79.261,23.772
2,17,820,56,59,33,1038,N/A,5.94,9.27,3.441,1.391,74.224,24.936
1,10,192,56,58,30,1038,N/A,1.39,9.28,4.092,1.397,73.647,22.923
2,16,206,56,58,30,1038,N/A,5.08,9.28,3.371,1.368,68.528,18.721
1,9,950,55,58,31,1038,N/A,2.23,9.28,3.734,1.398,72.521,20.772
3,23,536,56,58,34,1038,N/A,1.51,9.28,2.204,1.321,62.264,13.732
0,8,304,56,59,32,1038,N/A,0.00,9.28,1.493,1.284,59.048,8.459
0,6,218,55,58,29,1038,N/A,5.35,9.27,1.638,1.295,59.039,11.114
1,11,644,55,58,29,1038,N/A,14.51,9.27,4.819,1.373,78.278,20.534
0,7,194,55,57,29,1038,N/A,32.51,9.27,5.214,1.298,93.749,23.035
0,8,248,55,58,31,1038,N/A,77.26,9.27,4.910,1.156,87.754,58.366
0,8,248,55,58,31,1038,N/A,77.26,9.27,4.910,1.156,87.754,58.366
6,48,582,55,58,33,1038,N/A,25.57,9.27,4.910,1.156,87.754,58.366
1,13,358,55,58,34,1038,N/A,1.24,9.27,2.781,1.252,70.158,28.891
0,5,242,55,58,33,1038,N/A,2.99,9.34,1.368,1.280,59.280,8.831
3,23,208,55,57,30,1038,N/A,2.64,9.31,3.357,1.283,69.681,36.734
0,7,952,55,58,33,1038,N/A,0.35,9.31,4.623,1.357,82.923,46.656
3,23,208,55,57,31,1038,N/A,3.65,9.32,3.461,1.398,74.261,30.745
13,205,704,55,58,32,1038,N/A,3.68,9.32,3.266,1.379,74.786,29.005
4,28,192,54,57,28,1038,N/A,3.44,9.33,2.975,1.317,63.504,15.145
1,10,208,55,57,31,1038,N/A,2.07,9.32,2.634,1.356,71.516,21.423
0,6,192,55,57,28,1038,N/A,3.98,9.33,2.912,1.366,75.719,21.741
1,11,192,55,57,28,1038,N/A,3.96,9.32,3.479,1.375,77.489,24.544
6,39,192,54,57,27,1038,N/A,2.48,9.33,2.776,1.393,73.083,24.238
3,22,192,54,57,28,1038,N/A,4.27,9.33,4.333,1.392,71.956,23.484
0,8,192,54,57,28,1038,N/A,6.72,9.33,3.110,1.355,67.774,17.292
3,24,192,54,56,29,1038,N/A,1.10,9.33,3.012,1.388,71.374,20.391
1,9,192,54,57,28,1038,N/A,1.46,9.33,2.052,1.312,60.718,12.675
4,29,192,54,56,28,1038,N/A,0.00,9.33,1.312,1.274,59.000,8.996
1,9,192,54,56,26,1038,N/A,5.80,9.32,1.627,1.289,59.000,9.982
15,84,440,54,56,29,1038,N/A,13.08,9.33,4.735,1.366,76.325,19.741
4,27,744,54,56,28,1038,N/A,29.79,9.32,5.223,1.303,93.000,22.331
1,9,530,54,57,29,1038,N/A,64.66,9.32,5.007,1.200,91.297,56.432
2,18,192,54,56,26,1062,N/A,39.28,9.56,5.007,1.200,91.297,56.432
7,86,702,54,56,32,1220,61.000,7.76,9.56,3.634,1.233,73.274,35.005
7,86,702,54,56,32,1220,61.000,7.76,9.56,3.634,1.233,73.274,35.005
1,16,1986,55,58,55,1220,60.000,6.34,9.56,4.153,1.384,76.648,34.807
1,20,1870,54,58,50,1220,60.000,7.58,9.56,3.517,1.390,73.907,21.082
2,28,1390,54,58,48,1220,60.000,3.88,9.56,4.175,1.389,71.161,17.245
0,6,1324,54,57,40,1221,11.000,7.24,9.69,4.517,1.368,78.951,21.163
0,6,1324,54,57,40,1221,11.000,7.24,9.69,4.517,1.368,78.951,21.163
0,5,1198,54,57,42,1221,11.000,6.68,9.75,4.260,1.356,90.316,20.233
0,5,1030,53,57,40,1221,1.000,5.45,9.81,5.285,1.348,91.551,20.469
0,10,1500,54,57,43,1221,14.000,6.86,9.88,4.047,1.354,89.916,20.513
0,7,1564,54,57,42,1245,16.000,6.39,9.98,4.514,1.360,88.739,20.123
9,181,1334,54,57,42,1405,16.000,1.54,9.99,4.889,1.358,86.579,20.617
7,178,1342,54,57,44,1564,16.000,1.50,10.00,2.845,1.371,73.302,18.065
8,134,1336,54,57,48,1713,16.000,1.56,10.01,3.758,1.379,75.117,19.237
8,117,1338,54,57,43,1875,16.000,2.32,10.03,2.656,1.372,72.731,17.791
7,131,1570,53,57,47,2021,16.000,0.00,10.05,3.205,1.362,76.164,17.487
6,114,1336,54,57,45,2166,0.000,1.45,10.06,2.932,1.371,73.404,17.970
